member_id,portfolio_id,age,retirement_age,annual_salary_cad,contribution_rate_pct
MEM00088,PF003,38,67,113751.55,0.0552
MEM00089,PF003,46,60,62948.03,0.1085
MEM00090,PF003,58,65,55516.51,0.0777
MEM00091,PF004,32,65,94691.05,0.1062
MEM00092,PF004,41,65,97797.11,0.1096
MEM00093,PF004,35,65,78698.48,0.098
MEM00094,PF004,46,65,70179.32,0.0604
MEM00095,PF004,43,65,75621.38,0.0492
MEM00096,PF004,59,67,60690.4,0.075
MEM00097,PF004,28,65,92595.57,0.0802
MEM00098,PF004,35,65,100027.45,0.0808
MEM00099,PF004,46,67,62711.34,0.1097
MEM00100,PF004,60,65,115688.82,0.0703
MEM00101,PF004,47,60,59554.17,0.0953
MEM00102,PF004,56,65,81147.82,0.0795
MEM00103,PF004,46,60,102580.66,0.0502
MEM00104,PF004,48,65,71399.98,0.0981
MEM00105,PF004,60,67,91873.87,0.0958
MEM00106,PF004,31,65,52002.3,0.0692
MEM00107,PF004,28,65,154410.18,0.0436
MEM00108,PF004,49,60,90387.44,0.0406
MEM00109,PF004,49,65,102188.72,0.0715
MEM00110,PF004,46,65,84806.06,0.0694
MEM00111,PF004,41,67,128525.19,0.0888
MEM00112,PF004,45,65,83922.33,0.0954
MEM00113,PF004,33,65,77288.83,0.0504
MEM00114,PF004,51,65,77374.63,0.0422
MEM00115,PF004,43,65,98125.19,0.0662
MEM00116,PF004,58,60,69704.2,0.0461
MEM00117,PF004,52,60,73687.3,0.0689
MEM00118,PF004,53,65,121968.39,0.0844
MEM00119,PF004,61,60,58204.31,0.0765
MEM00120,PF004,60,65,83037.97,0.076
