date,portfolio_id,portfolio_name,risk_profile,portfolio_value_cad,daily_return,cumulative_return,benchmark_return,benchmark_cumulative_return,active_return,contribution_cad,withdrawal_cad,net_flow_cad
2025-03-04,PF001,Conservative Income,Conservative,21049666.419225,-0.003466,-0.002341,-0.001745,0.014846,-0.001721,0.0,0.0,0.0
2025-03-05,PF001,Conservative Income,Conservative,21061019.3061,0.000539,-0.001802,-0.006564,0.008184,0.007103,0.0,0.0,0.0
2025-03-06,PF001,Conservative Income,Conservative,21070352.568257,0.000443,-0.00136,-0.000686,0.007493,0.001129,0.0,0.0,0.0
2025-03-07,PF001,Conservative Income,Conservative,21091393.13456,0.000999,-0.000363,-0.00401,0.003452,0.005009,0.0,0.0,0.0
2025-03-10,PF001,Conservative Income,Conservative,21137994.790014,0.00221,0.001846,-0.000892,0.002557,0.003102,0.0,0.0,0.0
2025-03-11,PF001,Conservative Income,Conservative,21072787.409803,-0.003085,-0.001245,0.002003,0.004566,-0.005088,0.0,0.0,0.0
2025-03-12,PF001,Conservative Income,Conservative,21017941.114876,-0.002603,-0.003844,-0.003734,0.000814,0.001131,0.0,0.0,0.0
2025-03-13,PF001,Conservative Income,Conservative,20956007.785796,-0.002947,-0.00678,0.002745,0.003562,-0.005692,0.0,0.0,0.0
2025-03-14,PF001,Conservative Income,Conservative,20932072.757143,-0.001142,-0.007914,-0.004901,-0.001357,0.003759,0.0,0.0,0.0
2025-03-17,PF001,Conservative Income,Conservative,20852694.590875,-0.003792,-0.011676,-0.001974,-0.003328,-0.001818,0.0,0.0,0.0
2025-03-18,PF001,Conservative Income,Conservative,20892078.550893,0.001889,-0.009809,0.001861,-0.001473,2.8e-05,0.0,0.0,0.0
2025-03-19,PF001,Conservative Income,Conservative,20941472.378227,0.002364,-0.007468,-0.000142,-0.001615,0.002506,0.0,0.0,0.0
2025-03-20,PF001,Conservative Income,Conservative,20927517.50145,-0.000666,-0.00813,0.005345,0.003721,-0.006011,0.0,0.0,0.0
2025-03-21,PF001,Conservative Income,Conservative,20910020.870981,-0.000836,-0.008959,0.006201,0.009945,-0.007037,0.0,0.0,0.0
2025-03-24,PF001,Conservative Income,Conservative,21005862.895586,0.004584,-0.004417,0.002894,0.012868,0.00169,0.0,0.0,0.0
2025-03-25,PF001,Conservative Income,Conservative,21091770.894837,0.00409,-0.000345,0.001494,0.014381,0.002596,0.0,0.0,0.0
2025-03-26,PF001,Conservative Income,Conservative,21140621.413589,0.002316,0.00197,0.004252,0.018695,-0.001936,0.0,0.0,0.0
2025-03-27,PF001,Conservative Income,Conservative,21139783.54785,-4e-05,0.001931,-0.008925,0.009603,0.008885,0.0,0.0,0.0
2025-03-28,PF001,Conservative Income,Conservative,21214908.858714,0.003554,0.005491,-0.001948,0.007636,0.005502,0.0,0.0,0.0
2025-03-31,PF001,Conservative Income,Conservative,21304236.873228,0.00379,0.009302,0.005093,0.012768,-0.001303,15361.01,6441.16,8919.85
2025-04-01,PF001,Conservative Income,Conservative,21339758.319594,0.001667,0.010985,0.002156,0.014951,-0.000489,0.0,0.0,0.0
2025-04-02,PF001,Conservative Income,Conservative,21354853.338008,0.000707,0.0117,-0.002676,0.012235,0.003383,0.0,0.0,0.0
2025-04-03,PF001,Conservative Income,Conservative,21403270.889737,0.002267,0.013994,-0.000183,0.01205,0.00245,0.0,0.0,0.0
2025-04-04,PF001,Conservative Income,Conservative,21374306.437787,-0.001353,0.012622,-0.002135,0.009889,0.000782,0.0,0.0,0.0
2025-04-07,PF001,Conservative Income,Conservative,21372808.076518,-7e-05,0.012551,0.001073,0.010973,-0.001143,0.0,0.0,0.0
2025-04-08,PF001,Conservative Income,Conservative,21517600.735114,0.006775,0.01941,0.003465,0.014476,0.00331,0.0,0.0,0.0
2025-04-09,PF001,Conservative Income,Conservative,21534312.684081,0.000777,0.020202,-0.001635,0.012817,0.002412,0.0,0.0,0.0
2025-04-10,PF001,Conservative Income,Conservative,21506437.679724,-0.001294,0.018882,-0.000796,0.012011,-0.000498,0.0,0.0,0.0
2025-04-11,PF001,Conservative Income,Conservative,21514353.249714,0.000368,0.019257,-0.002089,0.009897,0.002457,0.0,0.0,0.0
2025-04-14,PF001,Conservative Income,Conservative,21570861.113307,0.002627,0.021934,-0.001388,0.008495,0.004015,0.0,0.0,0.0
2025-04-15,PF001,Conservative Income,Conservative,21520961.002702,-0.002313,0.01957,0.000263,0.008761,-0.002576,0.0,0.0,0.0
2025-04-16,PF001,Conservative Income,Conservative,21527562.686694,0.000307,0.019882,0.001364,0.010137,-0.001057,0.0,0.0,0.0
2025-04-17,PF001,Conservative Income,Conservative,21566812.254597,0.001823,0.021742,0.004489,0.014671,-0.002666,0.0,0.0,0.0
2025-04-18,PF001,Conservative Income,Conservative,21463997.130023,-0.004767,0.016871,-0.000952,0.013705,-0.003815,0.0,0.0,0.0
2025-04-21,PF001,Conservative Income,Conservative,21419188.564012,-0.002088,0.014748,0.001311,0.015034,-0.003399,0.0,0.0,0.0
2025-04-22,PF001,Conservative Income,Conservative,21414856.75798,-0.000202,0.014543,0.001315,0.016369,-0.001517,0.0,0.0,0.0
2025-04-23,PF001,Conservative Income,Conservative,21365372.924998,-0.002311,0.012199,0.001436,0.017828,-0.003747,0.0,0.0,0.0
2025-04-24,PF001,Conservative Income,Conservative,21507802.309322,0.006666,0.018946,-0.000561,0.017257,0.007227,0.0,0.0,0.0
2025-04-25,PF001,Conservative Income,Conservative,21493369.279006,-0.000671,0.018262,-0.001784,0.015443,0.001113,0.0,0.0,0.0
2025-04-28,PF001,Conservative Income,Conservative,21428036.502249,-0.00304,0.015167,-0.001407,0.014014,-0.001633,0.0,0.0,0.0
2025-04-29,PF001,Conservative Income,Conservative,21323304.981629,-0.004888,0.010206,-0.001381,0.012613,-0.003507,0.0,0.0,0.0
2025-04-30,PF001,Conservative Income,Conservative,21303065.875514,-0.001566,0.008623,-0.005065,0.007485,0.003499,15194.03,2031.39,13162.64
2025-05-01,PF001,Conservative Income,Conservative,21252623.456094,-0.002368,0.006235,0.003682,0.011194,-0.00605,0.0,0.0,0.0
2025-05-02,PF001,Conservative Income,Conservative,21242680.479159,-0.000468,0.005764,0.002404,0.013625,-0.002872,0.0,0.0,0.0
2025-05-05,PF001,Conservative Income,Conservative,21348109.075888,0.004963,0.010756,0.002144,0.015798,0.002819,0.0,0.0,0.0
2025-05-06,PF001,Conservative Income,Conservative,21269511.232176,-0.003682,0.007034,9.8e-05,0.015898,-0.00378,0.0,0.0,0.0
2025-05-07,PF001,Conservative Income,Conservative,21291955.756127,0.001055,0.008097,-0.002251,0.013611,0.003306,0.0,0.0,0.0
2025-05-08,PF001,Conservative Income,Conservative,21302874.257009,0.000513,0.008614,-0.002258,0.011322,0.002771,0.0,0.0,0.0
2025-05-09,PF001,Conservative Income,Conservative,21272787.529358,-0.001412,0.00719,-0.004592,0.006678,0.00318,0.0,0.0,0.0
2025-05-12,PF001,Conservative Income,Conservative,21236832.066222,-0.00169,0.005487,-0.003833,0.00282,0.002143,0.0,0.0,0.0
2025-05-13,PF001,Conservative Income,Conservative,21235442.400271,-6.5e-05,0.005421,0.00262,0.005447,-0.002685,0.0,0.0,0.0
2025-05-14,PF001,Conservative Income,Conservative,21232816.519825,-0.000124,0.005297,-0.002399,0.003035,0.002275,0.0,0.0,0.0
2025-05-15,PF001,Conservative Income,Conservative,21324310.297438,0.004309,0.009629,0.008719,0.01178,-0.00441,0.0,0.0,0.0
2025-05-16,PF001,Conservative Income,Conservative,21356920.757516,0.001529,0.011173,0.00382,0.015645,-0.002291,0.0,0.0,0.0
2025-05-19,PF001,Conservative Income,Conservative,21424990.716897,0.003187,0.014396,-0.00083,0.014802,0.004017,0.0,0.0,0.0
2025-05-20,PF001,Conservative Income,Conservative,21387560.841708,-0.001747,0.012624,0.002858,0.017703,-0.004605,0.0,0.0,0.0
2025-05-21,PF001,Conservative Income,Conservative,21364921.560772,-0.001059,0.011552,0.001054,0.018775,-0.002113,0.0,0.0,0.0
2025-05-22,PF001,Conservative Income,Conservative,21507038.277218,0.006652,0.018281,-0.001888,0.016852,0.00854,0.0,0.0,0.0
2025-05-23,PF001,Conservative Income,Conservative,21501015.102886,-0.00028,0.017995,0.001913,0.018797,-0.002193,0.0,0.0,0.0
2025-05-26,PF001,Conservative Income,Conservative,21593060.719269,0.004281,0.022353,0.00257,0.021416,0.001711,0.0,0.0,0.0
2025-05-27,PF001,Conservative Income,Conservative,21586307.766229,-0.000313,0.022034,0.001615,0.023065,-0.001928,0.0,0.0,0.0
2025-05-28,PF001,Conservative Income,Conservative,21485515.891854,-0.004669,0.017261,-0.003913,0.019062,-0.000756,0.0,0.0,0.0
2025-05-29,PF001,Conservative Income,Conservative,21435346.489594,-0.002335,0.014886,0.007328,0.02653,-0.009663,0.0,0.0,0.0
2025-05-30,PF001,Conservative Income,Conservative,21443321.486449,0.000372,0.015264,0.00075,0.027299,-0.000378,0.0,0.0,0.0
2025-06-02,PF001,Conservative Income,Conservative,21484045.651155,0.001899,0.017192,0.002617,0.029988,-0.000718,0.0,0.0,0.0
2025-06-03,PF001,Conservative Income,Conservative,21469713.476814,-0.000667,0.016513,-0.000348,0.029629,-0.000319,0.0,0.0,0.0
2025-06-04,PF001,Conservative Income,Conservative,21482702.26003,0.000605,0.017128,-0.005467,0.024,0.006072,0.0,0.0,0.0
2025-06-05,PF001,Conservative Income,Conservative,21497800.713135,0.000703,0.017843,-0.001191,0.022781,0.001894,0.0,0.0,0.0
2025-06-06,PF001,Conservative Income,Conservative,21477257.443746,-0.000956,0.01687,0.00478,0.02767,-0.005736,0.0,0.0,0.0
2025-06-09,PF001,Conservative Income,Conservative,21495725.283741,0.00086,0.017745,0.004958,0.032765,-0.004098,0.0,0.0,0.0
2025-06-10,PF001,Conservative Income,Conservative,21480160.96937,-0.000724,0.017008,-0.002504,0.030179,0.00178,0.0,0.0,0.0
2025-06-11,PF001,Conservative Income,Conservative,21500033.644974,0.000925,0.017949,0.00791,0.038328,-0.006985,0.0,0.0,0.0
2025-06-12,PF001,Conservative Income,Conservative,21463834.90446,-0.001684,0.016235,-0.000636,0.037667,-0.001048,0.0,0.0,0.0
2025-06-13,PF001,Conservative Income,Conservative,21444506.688415,-0.000901,0.01532,-0.000488,0.037161,-0.000413,0.0,0.0,0.0
2025-06-16,PF001,Conservative Income,Conservative,21358294.469019,-0.00402,0.011238,-0.001515,0.03559,-0.002505,0.0,0.0,0.0
2025-06-17,PF001,Conservative Income,Conservative,21390443.171753,0.001505,0.01276,-0.007087,0.02825,0.008592,0.0,0.0,0.0
2025-06-18,PF001,Conservative Income,Conservative,21386404.152811,-0.000189,0.012569,-0.002744,0.025429,0.002555,0.0,0.0,0.0
2025-06-19,PF001,Conservative Income,Conservative,21449208.392186,0.002937,0.015542,0.001627,0.027097,0.00131,0.0,0.0,0.0
2025-06-20,PF001,Conservative Income,Conservative,21379367.197604,-0.003256,0.012236,0.003149,0.030332,-0.006405,0.0,0.0,0.0
2025-06-23,PF001,Conservative Income,Conservative,21400948.108205,0.001009,0.013258,0.000632,0.030983,0.000377,0.0,0.0,0.0
2025-06-24,PF001,Conservative Income,Conservative,21310752.84868,-0.004215,0.008987,0.000776,0.031783,-0.004991,0.0,0.0,0.0
2025-06-25,PF001,Conservative Income,Conservative,21326360.375075,0.000732,0.009726,0.002485,0.034347,-0.001753,0.0,0.0,0.0
2025-06-26,PF001,Conservative Income,Conservative,21399136.1104,0.003412,0.013172,-1.3e-05,0.034333,0.003425,0.0,0.0,0.0
2025-06-27,PF001,Conservative Income,Conservative,21400666.309567,7.2e-05,0.013244,-0.00193,0.032337,0.002002,0.0,0.0,0.0
2025-06-30,PF001,Conservative Income,Conservative,21495626.441572,0.003734,0.017028,-0.00171,0.030572,0.005444,15048.59,0.0,15048.59
2025-07-01,PF001,Conservative Income,Conservative,21445668.891655,-0.002324,0.014664,-0.0009,0.029644,-0.001424,0.0,0.0,0.0
2025-07-02,PF001,Conservative Income,Conservative,21419172.03928,-0.001236,0.01341,0.001888,0.031588,-0.003124,0.0,0.0,0.0
2025-07-03,PF001,Conservative Income,Conservative,21407308.985164,-0.000554,0.012849,-0.004057,0.027403,0.003503,0.0,0.0,0.0
2025-07-04,PF001,Conservative Income,Conservative,21401947.725735,-0.00025,0.012595,0.001245,0.028682,-0.001495,0.0,0.0,0.0
2025-07-07,PF001,Conservative Income,Conservative,21390194.596455,-0.000549,0.012039,-0.001765,0.026867,0.001216,0.0,0.0,0.0
2025-07-08,PF001,Conservative Income,Conservative,21347617.510112,-0.00199,0.010025,-0.001211,0.025623,-0.000779,0.0,0.0,0.0
2025-07-09,PF001,Conservative Income,Conservative,21281876.499048,-0.00308,0.006914,0.003087,0.028789,-0.006167,0.0,0.0,0.0
2025-07-10,PF001,Conservative Income,Conservative,21225442.113573,-0.002652,0.004244,0.001489,0.030321,-0.004141,0.0,0.0,0.0
2025-07-11,PF001,Conservative Income,Conservative,21369778.316286,0.0068,0.011073,-0.002526,0.027718,0.009326,0.0,0.0,0.0
2025-07-14,PF001,Conservative Income,Conservative,21383700.093559,0.000651,0.011732,-0.000377,0.027331,0.001028,0.0,0.0,0.0
2025-07-15,PF001,Conservative Income,Conservative,21378972.437893,-0.000221,0.011508,0.002471,0.029869,-0.002692,0.0,0.0,0.0
2025-07-16,PF001,Conservative Income,Conservative,21391611.452582,0.000591,0.012106,-0.001565,0.028258,0.002156,0.0,0.0,0.0
2025-07-17,PF001,Conservative Income,Conservative,21425391.464038,0.001579,0.013705,0.000151,0.028413,0.001428,0.0,0.0,0.0
2025-07-18,PF001,Conservative Income,Conservative,21401075.678915,-0.001135,0.012554,-0.000295,0.02811,-0.00084,0.0,0.0,0.0
2025-07-21,PF001,Conservative Income,Conservative,21353582.597927,-0.002219,0.010307,-0.003187,0.024833,0.000968,0.0,0.0,0.0
2025-07-22,PF001,Conservative Income,Conservative,21339521.132938,-0.000659,0.009642,-0.001918,0.022867,0.001259,0.0,0.0,0.0
2025-07-23,PF001,Conservative Income,Conservative,21341427.749791,8.9e-05,0.009732,0.001293,0.02419,-0.001204,0.0,0.0,0.0
2025-07-24,PF001,Conservative Income,Conservative,21284726.276279,-0.002657,0.007049,-0.004829,0.019244,0.002172,0.0,0.0,0.0
2025-07-25,PF001,Conservative Income,Conservative,21254314.417645,-0.001429,0.00561,-0.00591,0.01322,0.004481,0.0,0.0,0.0
2025-07-28,PF001,Conservative Income,Conservative,21354401.66492,0.004709,0.010346,0.002134,0.015383,0.002575,0.0,0.0,0.0
2025-07-29,PF001,Conservative Income,Conservative,21315886.015706,-0.001804,0.008524,-0.004601,0.010711,0.002797,0.0,0.0,0.0
2025-07-30,PF001,Conservative Income,Conservative,21299775.361639,-0.000756,0.007761,0.000492,0.011208,-0.001248,0.0,0.0,0.0
2025-07-31,PF001,Conservative Income,Conservative,21293541.661813,-0.000999,0.006754,-0.002431,0.00875,0.001432,15048.72,0.0,15048.72
2025-08-01,PF001,Conservative Income,Conservative,21286967.567497,-0.000309,0.006444,0.0031,0.011877,-0.003409,0.0,0.0,0.0
2025-08-04,PF001,Conservative Income,Conservative,21428635.195884,0.006655,0.013142,0.001519,0.013414,0.005136,0.0,0.0,0.0
2025-08-05,PF001,Conservative Income,Conservative,21460958.971972,0.001508,0.01467,-0.000403,0.013006,0.001911,0.0,0.0,0.0
2025-08-06,PF001,Conservative Income,Conservative,21584985.866529,0.005779,0.020534,0.000786,0.013802,0.004993,0.0,0.0,0.0
2025-08-07,PF001,Conservative Income,Conservative,21455481.117834,-0.006,0.014411,-0.001271,0.012513,-0.004729,0.0,0.0,0.0
2025-08-08,PF001,Conservative Income,Conservative,21498266.30015,0.001994,0.016434,0.001228,0.013757,0.000766,0.0,0.0,0.0
2025-08-11,PF001,Conservative Income,Conservative,21547021.64504,0.002268,0.018739,-0.007378,0.006277,0.009646,0.0,0.0,0.0
2025-08-12,PF001,Conservative Income,Conservative,21529583.445943,-0.000809,0.017914,0.002731,0.009025,-0.00354,0.0,0.0,0.0
2025-08-13,PF001,Conservative Income,Conservative,21530282.370177,3.2e-05,0.017947,-0.003624,0.005369,0.003656,0.0,0.0,0.0
2025-08-14,PF001,Conservative Income,Conservative,21586821.727595,0.002626,0.020621,-0.002875,0.002478,0.005501,0.0,0.0,0.0
2025-08-15,PF001,Conservative Income,Conservative,21765197.271058,0.008263,0.029054,0.003994,0.006482,0.004269,0.0,0.0,0.0
2025-08-18,PF001,Conservative Income,Conservative,21777838.938204,0.000581,0.029652,0.00023,0.006714,0.000351,0.0,0.0,0.0
2025-08-19,PF001,Conservative Income,Conservative,21750476.061895,-0.001256,0.028358,0.000129,0.006843,-0.001385,0.0,0.0,0.0
2025-08-20,PF001,Conservative Income,Conservative,21668080.833784,-0.003788,0.024463,0.002811,0.009674,-0.006599,0.0,0.0,0.0
2025-08-21,PF001,Conservative Income,Conservative,21629347.164272,-0.001788,0.022631,-0.002072,0.007582,0.000284,0.0,0.0,0.0
2025-08-22,PF001,Conservative Income,Conservative,21680983.508373,0.002387,0.025073,-0.005622,0.001917,0.008009,0.0,0.0,0.0
2025-08-25,PF001,Conservative Income,Conservative,21681918.508286,4.3e-05,0.025117,0.002403,0.004325,-0.00236,0.0,0.0,0.0
2025-08-26,PF001,Conservative Income,Conservative,21744316.045302,0.002878,0.028067,0.000663,0.00499,0.002215,0.0,0.0,0.0
2025-08-27,PF001,Conservative Income,Conservative,21730356.396506,-0.000642,0.027407,-0.000128,0.004862,-0.000514,0.0,0.0,0.0
2025-08-28,PF001,Conservative Income,Conservative,21714044.775355,-0.000751,0.026636,0.003494,0.008373,-0.004245,0.0,0.0,0.0
2025-08-29,PF001,Conservative Income,Conservative,21647521.143093,-0.003064,0.02349,-0.001284,0.007078,-0.00178,0.0,0.0,0.0
2025-09-01,PF001,Conservative Income,Conservative,21691958.82963,0.002053,0.025591,0.006602,0.013727,-0.004549,0.0,0.0,0.0
2025-09-02,PF001,Conservative Income,Conservative,21714142.430976,0.001023,0.02664,0.000444,0.014177,0.000579,0.0,0.0,0.0
2025-09-03,PF001,Conservative Income,Conservative,21792526.093594,0.00361,0.030346,0.000385,0.014567,0.003225,0.0,0.0,0.0
2025-09-04,PF001,Conservative Income,Conservative,21830956.866723,0.001763,0.032163,0.001889,0.016484,-0.000126,0.0,0.0,0.0
2025-09-05,PF001,Conservative Income,Conservative,21784410.33857,-0.002132,0.029963,-0.00732,0.009043,0.005188,0.0,0.0,0.0
2025-09-08,PF001,Conservative Income,Conservative,21825859.967579,0.001903,0.031922,0.000778,0.009828,0.001125,0.0,0.0,0.0
2025-09-09,PF001,Conservative Income,Conservative,21763700.208336,-0.002848,0.028983,-0.001739,0.008072,-0.001109,0.0,0.0,0.0
2025-09-10,PF001,Conservative Income,Conservative,21759865.137935,-0.000176,0.028802,0.001005,0.009085,-0.001181,0.0,0.0,0.0
2025-09-11,PF001,Conservative Income,Conservative,21702387.379655,-0.002641,0.026085,-0.002344,0.00672,-0.000297,0.0,0.0,0.0
2025-09-12,PF001,Conservative Income,Conservative,21668037.633794,-0.001583,0.024461,0.001839,0.008571,-0.003422,0.0,0.0,0.0
2025-09-15,PF001,Conservative Income,Conservative,21601238.75636,-0.003083,0.021302,-0.001728,0.006829,-0.001355,0.0,0.0,0.0
2025-09-16,PF001,Conservative Income,Conservative,21657904.746641,0.002623,0.023981,-0.000292,0.006535,0.002915,0.0,0.0,0.0
2025-09-17,PF001,Conservative Income,Conservative,21576198.153636,-0.003773,0.020118,-0.000806,0.005723,-0.002967,0.0,0.0,0.0
2025-09-18,PF001,Conservative Income,Conservative,21563722.86337,-0.000578,0.019529,0.004848,0.010599,-0.005426,0.0,0.0,0.0
2025-09-19,PF001,Conservative Income,Conservative,21438555.113883,-0.005805,0.013611,0.001639,0.012255,-0.007444,0.0,0.0,0.0
2025-09-22,PF001,Conservative Income,Conservative,21478620.23342,0.001869,0.015505,0.003118,0.015412,-0.001249,0.0,0.0,0.0
2025-09-23,PF001,Conservative Income,Conservative,21491670.676261,0.000608,0.016122,-0.003291,0.01207,0.003899,0.0,0.0,0.0
2025-09-24,PF001,Conservative Income,Conservative,21543770.2104,0.002424,0.018585,-4.5e-05,0.012024,0.002469,0.0,0.0,0.0
2025-09-25,PF001,Conservative Income,Conservative,21655634.239531,0.005192,0.023874,0.000319,0.012347,0.004873,0.0,0.0,0.0
2025-09-26,PF001,Conservative Income,Conservative,21638297.026947,-0.000801,0.023054,0.001873,0.014243,-0.002674,0.0,0.0,0.0
2025-09-29,PF001,Conservative Income,Conservative,21610855.999667,-0.001268,0.021757,6.4e-05,0.014308,-0.001332,0.0,0.0,0.0
2025-09-30,PF001,Conservative Income,Conservative,21726281.516967,0.004752,0.026612,-0.000976,0.013318,0.005728,15046.71,2314.22,12732.49
2025-10-01,PF001,Conservative Income,Conservative,21689583.999829,-0.001689,0.024878,-0.001221,0.012081,-0.000468,0.0,0.0,0.0
2025-10-02,PF001,Conservative Income,Conservative,21669005.235005,-0.000949,0.023906,-0.003858,0.008176,0.002909,0.0,0.0,0.0
2025-10-03,PF001,Conservative Income,Conservative,21694405.887418,0.001172,0.025106,-3.3e-05,0.008143,0.001205,0.0,0.0,0.0
2025-10-06,PF001,Conservative Income,Conservative,21862482.794483,0.007747,0.033048,-0.000623,0.007515,0.00837,0.0,0.0,0.0
2025-10-07,PF001,Conservative Income,Conservative,21867298.046002,0.00022,0.033276,0.001215,0.008739,-0.000995,0.0,0.0,0.0
2025-10-08,PF001,Conservative Income,Conservative,21825816.367756,-0.001897,0.031316,-0.003314,0.005396,0.001417,0.0,0.0,0.0
