date,usd_cad,eur_cad
2025-08-28,1.3562,1.4262
2025-08-29,1.3524,1.4279
2025-09-01,1.3502,1.4265
2025-09-02,1.3472,1.4262
2025-09-03,1.3477,1.427
2025-09-04,1.3496,1.4301
2025-09-05,1.3509,1.4244
2025-09-08,1.3512,1.4211
2025-09-09,1.3503,1.4192
2025-09-10,1.3542,1.4145
2025-09-11,1.3521,1.411
2025-09-12,1.3532,1.4102
2025-09-15,1.3521,1.4077
2025-09-16,1.3521,1.4133
2025-09-17,1.3551,1.4169
2025-09-18,1.3548,1.4189
2025-09-19,1.3537,1.4227
2025-09-22,1.3523,1.422
2025-09-23,1.3528,1.4235
2025-09-24,1.3521,1.4212
2025-09-25,1.3525,1.4183
2025-09-26,1.3503,1.4166
2025-09-29,1.3498,1.4168
2025-09-30,1.3494,1.4197
2025-10-01,1.3449,1.4212
2025-10-02,1.3443,1.423
2025-10-03,1.3417,1.4207
2025-10-06,1.3399,1.4144
2025-10-07,1.3391,1.4162
2025-10-08,1.3406,1.4178
2025-10-09,1.3404,1.4168
2025-10-10,1.3402,1.4147
2025-10-13,1.3357,1.4184
2025-10-14,1.3321,1.4202
2025-10-15,1.3344,1.4172
2025-10-16,1.3378,1.4196
2025-10-17,1.3375,1.4212
2025-10-20,1.3331,1.4187
2025-10-21,1.337,1.4223
2025-10-22,1.3379,1.4188
2025-10-23,1.3374,1.4215
2025-10-24,1.3407,1.4227
2025-10-27,1.3404,1.418
2025-10-28,1.3428,1.4186
2025-10-29,1.3426,1.4197
2025-10-30,1.3417,1.4242
2025-10-31,1.3411,1.4265
2025-11-03,1.3465,1.4308
2025-11-04,1.3453,1.4302
2025-11-05,1.346,1.4322
2025-11-06,1.3441,1.4301
2025-11-07,1.341,1.4326
2025-11-10,1.3383,1.4294
2025-11-11,1.3377,1.4255
2025-11-12,1.3383,1.422
2025-11-13,1.3344,1.4234
2025-11-14,1.3372,1.4271
2025-11-17,1.3406,1.4251
2025-11-18,1.3429,1.4303
2025-11-19,1.3412,1.4287
2025-11-20,1.3417,1.4303
2025-11-21,1.3431,1.4253
2025-11-24,1.339,1.4282
2025-11-25,1.344,1.4299
2025-11-26,1.3466,1.4286
2025-11-27,1.3449,1.4254
2025-11-28,1.3464,1.4266
2025-12-01,1.3453,1.4325
2025-12-02,1.3445,1.4351
2025-12-03,1.3425,1.4369
2025-12-04,1.3404,1.4389
2025-12-05,1.3395,1.4363
2025-12-08,1.3362,1.4382
2025-12-09,1.3388,1.4393
2025-12-10,1.3455,1.4379
2025-12-11,1.345,1.4432
2025-12-12,1.3472,1.4461
2025-12-15,1.3494,1.4428
2025-12-16,1.348,1.4398
2025-12-17,1.3469,1.4405
2025-12-18,1.3436,1.4362
2025-12-19,1.3443,1.4363
2025-12-22,1.3451,1.4338
2025-12-23,1.344,1.4385
2025-12-24,1.3446,1.4466
2025-12-25,1.3466,1.4496
2025-12-26,1.3434,1.449
2025-12-29,1.343,1.4455
2025-12-30,1.3418,1.4459
2025-12-31,1.3433,1.4489
