contribution_id,date,member_id,portfolio_id,contribution_cad
CONTR000050,2025-02-28,MEM00005,PF001,503.61
CONTR000051,2025-03-31,MEM00005,PF001,537.7
CONTR000052,2025-04-30,MEM00005,PF001,516.83
CONTR000053,2025-05-31,MEM00005,PF001,472.27
CONTR000054,2025-06-30,MEM00005,PF001,537.89
CONTR000055,2025-07-31,MEM00005,PF001,487.15
CONTR000056,2025-08-31,MEM00005,PF001,480.94
CONTR000057,2025-09-30,MEM00005,PF001,507.69
CONTR000058,2025-10-31,MEM00005,PF001,478.69
CONTR000059,2025-11-30,MEM00005,PF001,504.67
CONTR000060,2025-12-31,MEM00005,PF001,481.26
CONTR000061,2025-01-31,MEM00006,PF001,665.12
CONTR000062,2025-02-28,MEM00006,PF001,625.82
CONTR000063,2025-03-31,MEM00006,PF001,602.09
CONTR000064,2025-04-30,MEM00006,PF001,664.75
CONTR000065,2025-05-31,MEM00006,PF001,670.2
CONTR000066,2025-06-30,MEM00006,PF001,703.79
CONTR000067,2025-07-31,MEM00006,PF001,635.0
CONTR000068,2025-08-31,MEM00006,PF001,614.52
CONTR000069,2025-09-30,MEM00006,PF001,628.75
CONTR000070,2025-10-31,MEM00006,PF001,691.48
CONTR000071,2025-11-30,MEM00006,PF001,624.72
CONTR000072,2025-12-31,MEM00006,PF001,603.11
CONTR000073,2025-01-31,MEM00007,PF001,419.18
CONTR000074,2025-02-28,MEM00007,PF001,412.38
CONTR000075,2025-03-31,MEM00007,PF001,437.74
CONTR000076,2025-04-30,MEM00007,PF001,476.93
CONTR000077,2025-05-31,MEM00007,PF001,427.96
CONTR000078,2025-06-30,MEM00007,PF001,446.12
CONTR000079,2025-07-31,MEM00007,PF001,452.2
CONTR000080,2025-08-31,MEM00007,PF001,450.23
CONTR000081,2025-09-30,MEM00007,PF001,478.64
CONTR000082,2025-10-31,MEM00007,PF001,469.6
CONTR000083,2025-11-30,MEM00007,PF001,442.57
CONTR000084,2025-12-31,MEM00007,PF001,454.95
CONTR000085,2025-01-31,MEM00008,PF001,323.05
CONTR000086,2025-02-28,MEM00008,PF001,321.53
CONTR000087,2025-03-31,MEM00008,PF001,309.92
CONTR000088,2025-04-30,MEM00008,PF001,326.3
CONTR000089,2025-05-31,MEM00008,PF001,326.55
CONTR000090,2025-06-30,MEM00008,PF001,292.26
CONTR000091,2025-07-31,MEM00008,PF001,294.06
CONTR000092,2025-08-31,MEM00008,PF001,322.21
CONTR000093,2025-09-30,MEM00008,PF001,310.56
CONTR000094,2025-10-31,MEM00008,PF001,322.06
CONTR000095,2025-11-30,MEM00008,PF001,329.45
CONTR000096,2025-12-31,MEM00008,PF001,329.46
CONTR000097,2025-01-31,MEM00009,PF001,735.26
CONTR000098,2025-02-28,MEM00009,PF001,656.73
CONTR000099,2025-03-31,MEM00009,PF001,683.99
CONTR000100,2025-04-30,MEM00009,PF001,711.59
CONTR000101,2025-05-31,MEM00009,PF001,711.81
CONTR000102,2025-06-30,MEM00009,PF001,651.1
CONTR000103,2025-07-31,MEM00009,PF001,659.45
CONTR000104,2025-08-31,MEM00009,PF001,678.75
CONTR000105,2025-09-30,MEM00009,PF001,733.5
CONTR000106,2025-10-31,MEM00009,PF001,754.95
CONTR000107,2025-11-30,MEM00009,PF001,740.06
CONTR000108,2025-12-31,MEM00009,PF001,651.29
CONTR000109,2025-01-31,MEM00010,PF001,568.3
CONTR000110,2025-02-28,MEM00010,PF001,604.74
CONTR000111,2025-03-31,MEM00010,PF001,648.31
CONTR000112,2025-04-30,MEM00010,PF001,573.48
CONTR000113,2025-05-31,MEM00010,PF001,606.1
CONTR000114,2025-06-30,MEM00010,PF001,621.0
CONTR000115,2025-07-31,MEM00010,PF001,564.86
CONTR000116,2025-08-31,MEM00010,PF001,585.78
CONTR000117,2025-09-30,MEM00010,PF001,560.65
CONTR000118,2025-10-31,MEM00010,PF001,612.59
CONTR000119,2025-11-30,MEM00010,PF001,620.49
CONTR000120,2025-12-31,MEM00010,PF001,579.82
CONTR000121,2025-01-31,MEM00011,PF001,720.32
CONTR000122,2025-02-28,MEM00011,PF001,711.64
CONTR000123,2025-03-31,MEM00011,PF001,780.92
CONTR000124,2025-04-30,MEM00011,PF001,676.24
CONTR000125,2025-05-31,MEM00011,PF001,682.31
CONTR000126,2025-06-30,MEM00011,PF001,709.06
CONTR000127,2025-07-31,MEM00011,PF001,719.54
CONTR000128,2025-08-31,MEM00011,PF001,680.87
CONTR000129,2025-09-30,MEM00011,PF001,694.45
CONTR000130,2025-10-31,MEM00011,PF001,730.91
CONTR000131,2025-11-30,MEM00011,PF001,763.13
CONTR000132,2025-12-31,MEM00011,PF001,712.6
CONTR000133,2025-01-31,MEM00012,PF001,518.63
CONTR000134,2025-02-28,MEM00012,PF001,574.48
CONTR000135,2025-03-31,MEM00012,PF001,570.83
CONTR000136,2025-04-30,MEM00012,PF001,530.93
CONTR000137,2025-05-31,MEM00012,PF001,583.64
CONTR000138,2025-06-30,MEM00012,PF001,524.04
CONTR000139,2025-07-31,MEM00012,PF001,508.34
CONTR000140,2025-08-31,MEM00012,PF001,531.76
CONTR000141,2025-09-30,MEM00012,PF001,536.15
CONTR000142,2025-10-31,MEM00012,PF001,547.71
CONTR000143,2025-11-30,MEM00012,PF001,577.17
CONTR000144,2025-12-31,MEM00012,PF001,505.95
CONTR000145,2025-01-31,MEM00013,PF001,506.52
CONTR000146,2025-02-28,MEM00013,PF001,491.69
CONTR000147,2025-03-31,MEM00013,PF001,496.05
CONTR000148,2025-04-30,MEM00013,PF001,528.39
CONTR000149,2025-05-31,MEM00013,PF001,518.42
CONTR000150,2025-06-30,MEM00013,PF001,565.58
CONTR000151,2025-07-31,MEM00013,PF001,517.63
CONTR000152,2025-08-31,MEM00013,PF001,504.62
CONTR000153,2025-09-30,MEM00013,PF001,500.52
CONTR000154,2025-10-31,MEM00013,PF001,540.7
CONTR000155,2025-11-30,MEM00013,PF001,507.56
CONTR000156,2025-12-31,MEM00013,PF001,559.78
CONTR000157,2025-01-31,MEM00014,PF001,513.06
CONTR000158,2025-02-28,MEM00014,PF001,538.59
CONTR000159,2025-03-31,MEM00014,PF001,552.5
CONTR000160,2025-04-30,MEM00014,PF001,557.93
CONTR000161,2025-05-31,MEM00014,PF001,503.06
CONTR000162,2025-06-30,MEM00014,PF001,581.14
CONTR000163,2025-07-31,MEM00014,PF001,534.93
CONTR000164,2025-08-31,MEM00014,PF001,573.93
CONTR000165,2025-09-30,MEM00014,PF001,527.11
CONTR000166,2025-10-31,MEM00014,PF001,568.73
CONTR000167,2025-11-30,MEM00014,PF001,506.45
CONTR000168,2025-12-31,MEM00014,PF001,547.07
CONTR000169,2025-01-31,MEM00015,PF001,533.78
CONTR000170,2025-02-28,MEM00015,PF001,559.01
CONTR000171,2025-03-31,MEM00015,PF001,535.89
CONTR000172,2025-04-30,MEM00015,PF001,517.86
CONTR000173,2025-05-31,MEM00015,PF001,541.35
CONTR000174,2025-06-30,MEM00015,PF001,507.96
CONTR000175,2025-07-31,MEM00015,PF001,547.75
CONTR000176,2025-08-31,MEM00015,PF001,552.07
CONTR000177,2025-09-30,MEM00015,PF001,480.64
CONTR000178,2025-10-31,MEM00015,PF001,543.08
CONTR000179,2025-11-30,MEM00015,PF001,553.18
CONTR000180,2025-12-31,MEM00015,PF001,514.8
CONTR000181,2025-01-31,MEM00016,PF001,523.97
CONTR000182,2025-02-28,MEM00016,PF001,494.66
CONTR000183,2025-03-31,MEM00016,PF001,543.36
CONTR000184,2025-04-30,MEM00016,PF001,517.35
CONTR000185,2025-05-31,MEM00016,PF001,519.81
CONTR000186,2025-06-30,MEM00016,PF001,562.93
CONTR000187,2025-07-31,MEM00016,PF001,569.74
CONTR000188,2025-08-31,MEM00016,PF001,564.21
CONTR000189,2025-09-30,MEM00016,PF001,538.75
CONTR000190,2025-10-31,MEM00016,PF001,516.11
CONTR000191,2025-11-30,MEM00016,PF001,536.28
CONTR000192,2025-12-31,MEM00016,PF001,568.96
CONTR000193,2025-01-31,MEM00017,PF001,149.65
CONTR000194,2025-02-28,MEM00017,PF001,151.51
CONTR000195,2025-03-31,MEM00017,PF001,170.85
CONTR000196,2025-04-30,MEM00017,PF001,158.93
CONTR000197,2025-05-31,MEM00017,PF001,162.06
CONTR000198,2025-06-30,MEM00017,PF001,153.59
CONTR000199,2025-07-31,MEM00017,PF001,155.74
CONTR000200,2025-08-31,MEM00017,PF001,151.14
CONTR000201,2025-09-30,MEM00017,PF001,151.97
CONTR000202,2025-10-31,MEM00017,PF001,171.0
CONTR000203,2025-11-30,MEM00017,PF001,173.55
CONTR000204,2025-12-31,MEM00017,PF001,151.16
CONTR000205,2025-01-31,MEM00018,PF001,466.4
CONTR000206,2025-02-28,MEM00018,PF001,437.31
CONTR000207,2025-03-31,MEM00018,PF001,459.58
CONTR000208,2025-04-30,MEM00018,PF001,478.24
CONTR000209,2025-05-31,MEM00018,PF001,436.73
CONTR000210,2025-06-30,MEM00018,PF001,455.64
CONTR000211,2025-07-31,MEM00018,PF001,465.15
CONTR000212,2025-08-31,MEM00018,PF001,482.89
CONTR000213,2025-09-30,MEM00018,PF001,507.02
CONTR000214,2025-10-31,MEM00018,PF001,439.33
CONTR000215,2025-11-30,MEM00018,PF001,500.32
CONTR000216,2025-12-31,MEM00018,PF001,446.99
CONTR000217,2025-01-31,MEM00019,PF001,377.92
CONTR000218,2025-02-28,MEM00019,PF001,344.35
CONTR000219,2025-03-31,MEM00019,PF001,384.58
CONTR000220,2025-04-30,MEM00019,PF001,378.28
CONTR000221,2025-05-31,MEM00019,PF001,376.16
CONTR000222,2025-06-30,MEM00019,PF001,349.44
CONTR000223,2025-07-31,MEM00019,PF001,376.36
CONTR000224,2025-08-31,MEM00019,PF001,339.28
CONTR000225,2025-09-30,MEM00019,PF001,343.17
CONTR000226,2025-10-31,MEM00019,PF001,352.5
CONTR000227,2025-11-30,MEM00019,PF001,371.05
CONTR000228,2025-12-31,MEM00019,PF001,377.51
CONTR000229,2025-01-31,MEM00020,PF001,240.46
CONTR000230,2025-02-28,MEM00020,PF001,264.94
CONTR000231,2025-03-31,MEM00020,PF001,230.4
CONTR000232,2025-04-30,MEM00020,PF001,267.41
CONTR000233,2025-05-31,MEM00020,PF001,250.91
CONTR000234,2025-06-30,MEM00020,PF001,266.67
CONTR000235,2025-07-31,MEM00020,PF001,244.64
CONTR000236,2025-08-31,MEM00020,PF001,254.58
CONTR000237,2025-09-30,MEM00020,PF001,238.12
CONTR000238,2025-10-31,MEM00020,PF001,265.04
CONTR000239,2025-11-30,MEM00020,PF001,241.31
CONTR000240,2025-12-31,MEM00020,PF001,230.09
CONTR000241,2025-01-31,MEM00021,PF001,565.99
CONTR000242,2025-02-28,MEM00021,PF001,518.58
CONTR000243,2025-03-31,MEM00021,PF001,554.19
CONTR000244,2025-04-30,MEM00021,PF001,522.11
CONTR000245,2025-05-31,MEM00021,PF001,555.24
CONTR000246,2025-06-30,MEM00021,PF001,521.25
CONTR000247,2025-07-31,MEM00021,PF001,528.31
CONTR000248,2025-08-31,MEM00021,PF001,523.56
CONTR000249,2025-09-30,MEM00021,PF001,502.7
CONTR000250,2025-10-31,MEM00021,PF001,577.72
CONTR000251,2025-11-30,MEM00021,PF001,521.78
CONTR000252,2025-12-31,MEM00021,PF001,573.32
CONTR000253,2025-01-31,MEM00022,PF001,473.17
CONTR000254,2025-02-28,MEM00022,PF001,457.38
CONTR000255,2025-03-31,MEM00022,PF001,500.73
CONTR000256,2025-04-30,MEM00022,PF001,446.46
CONTR000257,2025-05-31,MEM00022,PF001,512.13
CONTR000258,2025-06-30,MEM00022,PF001,492.92
CONTR000259,2025-07-31,MEM00022,PF001,495.09
CONTR000260,2025-08-31,MEM00022,PF001,445.69
CONTR000261,2025-09-30,MEM00022,PF001,496.71
CONTR000262,2025-10-31,MEM00022,PF001,491.32
CONTR000263,2025-11-30,MEM00022,PF001,449.34
CONTR000264,2025-12-31,MEM00022,PF001,491.12
CONTR000265,2025-01-31,MEM00023,PF001,484.76
CONTR000266,2025-02-28,MEM00023,PF001,476.62
CONTR000267,2025-03-31,MEM00023,PF001,509.99
CONTR000268,2025-04-30,MEM00023,PF001,530.22
CONTR000269,2025-05-31,MEM00023,PF001,496.36
CONTR000270,2025-06-30,MEM00023,PF001,456.87
CONTR000271,2025-07-31,MEM00023,PF001,494.18
CONTR000272,2025-08-31,MEM00023,PF001,465.17
CONTR000273,2025-09-30,MEM00023,PF001,471.94
CONTR000274,2025-10-31,MEM00023,PF001,498.86
CONTR000275,2025-11-30,MEM00023,PF001,467.76
CONTR000276,2025-12-31,MEM00023,PF001,487.35
CONTR000277,2025-01-31,MEM00024,PF001,513.45
CONTR000278,2025-02-28,MEM00024,PF001,541.86
CONTR000279,2025-03-31,MEM00024,PF001,497.94
CONTR000280,2025-04-30,MEM00024,PF001,536.84
CONTR000281,2025-05-31,MEM00024,PF001,495.92
CONTR000282,2025-06-30,MEM00024,PF001,559.65
CONTR000283,2025-07-31,MEM00024,PF001,567.05
CONTR000284,2025-08-31,MEM00024,PF001,572.8
CONTR000285,2025-09-30,MEM00024,PF001,538.44
CONTR000286,2025-10-31,MEM00024,PF001,505.02
CONTR000287,2025-11-30,MEM00024,PF001,520.31
CONTR000288,2025-12-31,MEM00024,PF001,540.7
CONTR000289,2025-01-31,MEM00025,PF001,275.78
CONTR000290,2025-02-28,MEM00025,PF001,289.41
CONTR000291,2025-03-31,MEM00025,PF001,261.76
CONTR000292,2025-04-30,MEM00025,PF001,274.45
CONTR000293,2025-05-31,MEM00025,PF001,292.34
CONTR000294,2025-06-30,MEM00025,PF001,291.96
CONTR000295,2025-07-31,MEM00025,PF001,287.46
CONTR000296,2025-08-31,MEM00025,PF001,271.71
CONTR000297,2025-09-30,MEM00025,PF001,277.96
CONTR000298,2025-10-31,MEM00025,PF001,264.71
CONTR000299,2025-11-30,MEM00025,PF001,278.98
CONTR000300,2025-12-31,MEM00025,PF001,302.43
CONTR000301,2025-01-31,MEM00026,PF001,603.73
CONTR000302,2025-02-28,MEM00026,PF001,614.07
CONTR000303,2025-03-31,MEM00026,PF001,642.0
CONTR000304,2025-04-30,MEM00026,PF001,657.68
CONTR000305,2025-05-31,MEM00026,PF001,668.93
CONTR000306,2025-06-30,MEM00026,PF001,600.75
CONTR000307,2025-07-31,MEM00026,PF001,653.28
CONTR000308,2025-08-31,MEM00026,PF001,666.43
CONTR000309,2025-09-30,MEM00026,PF001,665.91
CONTR000310,2025-10-31,MEM00026,PF001,587.8
CONTR000311,2025-11-30,MEM00026,PF001,622.96
CONTR000312,2025-12-31,MEM00026,PF001,605.57
CONTR000313,2025-01-31,MEM00027,PF001,950.07
CONTR000314,2025-02-28,MEM00027,PF001,995.92
CONTR000315,2025-03-31,MEM00027,PF001,1027.13
CONTR000316,2025-04-30,MEM00027,PF001,1000.89
CONTR000317,2025-05-31,MEM00027,PF001,1022.79
CONTR000318,2025-06-30,MEM00027,PF001,1045.6
CONTR000319,2025-07-31,MEM00027,PF001,971.08
CONTR000320,2025-08-31,MEM00027,PF001,970.95
CONTR000321,2025-09-30,MEM00027,PF001,974.15
CONTR000322,2025-10-31,MEM00027,PF001,959.61
CONTR000323,2025-11-30,MEM00027,PF001,1083.97
CONTR000324,2025-12-31,MEM00027,PF001,1091.83
CONTR000325,2025-01-31,MEM00028,PF001,290.62
CONTR000326,2025-02-28,MEM00028,PF001,286.45
CONTR000327,2025-03-31,MEM00028,PF001,315.82
CONTR000328,2025-04-30,MEM00028,PF001,303.41
CONTR000329,2025-05-31,MEM00028,PF001,324.0
CONTR000330,2025-06-30,MEM00028,PF001,289.06
CONTR000331,2025-07-31,MEM00028,PF001,302.09
CONTR000332,2025-08-31,MEM00028,PF001,311.62
CONTR000333,2025-09-30,MEM00028,PF001,316.37
CONTR000334,2025-10-31,MEM00028,PF001,287.1
CONTR000335,2025-11-30,MEM00028,PF001,300.46
CONTR000336,2025-12-31,MEM00028,PF001,294.25
CONTR000337,2025-01-31,MEM00029,PF001,520.57
CONTR000338,2025-02-28,MEM00029,PF001,562.21
CONTR000339,2025-03-31,MEM00029,PF001,543.59
CONTR000340,2025-04-30,MEM00029,PF001,542.97
CONTR000341,2025-05-31,MEM00029,PF001,527.2
CONTR000342,2025-06-30,MEM00029,PF001,496.31
CONTR000343,2025-07-31,MEM00029,PF001,526.75
CONTR000344,2025-08-31,MEM00029,PF001,479.76
CONTR000345,2025-09-30,MEM00029,PF001,498.1
CONTR000346,2025-10-31,MEM00029,PF001,504.36
CONTR000347,2025-11-30,MEM00029,PF001,484.77
CONTR000348,2025-12-31,MEM00029,PF001,506.86
CONTR000349,2025-01-31,MEM00030,PF001,365.91
CONTR000350,2025-02-28,MEM00030,PF001,346.08
CONTR000351,2025-03-31,MEM00030,PF001,377.47
CONTR000352,2025-04-30,MEM00030,PF001,343.33
CONTR000353,2025-05-31,MEM00030,PF001,347.63
CONTR000354,2025-06-30,MEM00030,PF001,344.08
CONTR000355,2025-07-31,MEM00030,PF001,373.89
CONTR000356,2025-08-31,MEM00030,PF001,331.55
CONTR000357,2025-09-30,MEM00030,PF001,378.14
CONTR000358,2025-10-31,MEM00030,PF001,378.33
CONTR000359,2025-11-30,MEM00030,PF001,373.59
CONTR000360,2025-12-31,MEM00030,PF001,365.38
CONTR000361,2025-01-31,MEM00031,PF002,604.34
CONTR000362,2025-02-28,MEM00031,PF002,614.79
CONTR000363,2025-03-31,MEM00031,PF002,605.29
CONTR000364,2025-04-30,MEM00031,PF002,605.93
CONTR000365,2025-05-31,MEM00031,PF002,561.9
CONTR000366,2025-06-30,MEM00031,PF002,562.77
CONTR000367,2025-07-31,MEM00031,PF002,573.03
CONTR000368,2025-08-31,MEM00031,PF002,625.09
CONTR000369,2025-09-30,MEM00031,PF002,588.92
CONTR000370,2025-10-31,MEM00031,PF002,577.68
CONTR000371,2025-11-30,MEM00031,PF002,554.82
CONTR000372,2025-12-31,MEM00031,PF002,557.24
CONTR000373,2025-01-31,MEM00032,PF002,537.42
CONTR000374,2025-02-28,MEM00032,PF002,547.48
CONTR000375,2025-03-31,MEM00032,PF002,516.57
CONTR000376,2025-04-30,MEM00032,PF002,485.7
CONTR000377,2025-05-31,MEM00032,PF002,549.54
CONTR000378,2025-06-30,MEM00032,PF002,491.07
CONTR000379,2025-07-31,MEM00032,PF002,538.88
CONTR000380,2025-08-31,MEM00032,PF002,509.37
CONTR000381,2025-09-30,MEM00032,PF002,517.24
CONTR000382,2025-10-31,MEM00032,PF002,483.6
CONTR000383,2025-11-30,MEM00032,PF002,523.52
CONTR000384,2025-12-31,MEM00032,PF002,510.75
CONTR000385,2025-01-31,MEM00033,PF002,356.37
CONTR000386,2025-02-28,MEM00033,PF002,398.75
CONTR000387,2025-03-31,MEM00033,PF002,377.94
CONTR000388,2025-04-30,MEM00033,PF002,362.92
CONTR000389,2025-05-31,MEM00033,PF002,405.2
CONTR000390,2025-06-30,MEM00033,PF002,391.86
CONTR000391,2025-07-31,MEM00033,PF002,396.51
CONTR000392,2025-08-31,MEM00033,PF002,362.7
CONTR000393,2025-09-30,MEM00033,PF002,398.28
CONTR000394,2025-10-31,MEM00033,PF002,355.29
CONTR000395,2025-11-30,MEM00033,PF002,387.4
CONTR000396,2025-12-31,MEM00033,PF002,379.14
CONTR000397,2025-01-31,MEM00034,PF002,423.02
CONTR000398,2025-02-28,MEM00034,PF002,412.62
CONTR000399,2025-03-31,MEM00034,PF002,417.16
CONTR000400,2025-04-30,MEM00034,PF002,368.93
CONTR000401,2025-05-31,MEM00034,PF002,392.94
CONTR000402,2025-06-30,MEM00034,PF002,396.59
CONTR000403,2025-07-31,MEM00034,PF002,371.36
CONTR000404,2025-08-31,MEM00034,PF002,396.16
CONTR000405,2025-09-30,MEM00034,PF002,414.85
CONTR000406,2025-10-31,MEM00034,PF002,427.95
CONTR000407,2025-11-30,MEM00034,PF002,368.1
CONTR000408,2025-12-31,MEM00034,PF002,428.54
CONTR000409,2025-01-31,MEM00035,PF002,467.67
CONTR000410,2025-02-28,MEM00035,PF002,443.07
CONTR000411,2025-03-31,MEM00035,PF002,420.33
CONTR000412,2025-04-30,MEM00035,PF002,457.24
CONTR000413,2025-05-31,MEM00035,PF002,416.13
CONTR000414,2025-06-30,MEM00035,PF002,449.16
CONTR000415,2025-07-31,MEM00035,PF002,421.24
CONTR000416,2025-08-31,MEM00035,PF002,468.16
CONTR000417,2025-09-30,MEM00035,PF002,418.58
CONTR000418,2025-10-31,MEM00035,PF002,435.08
CONTR000419,2025-11-30,MEM00035,PF002,444.34
CONTR000420,2025-12-31,MEM00035,PF002,411.67
CONTR000421,2025-01-31,MEM00036,PF002,735.2
CONTR000422,2025-02-28,MEM00036,PF002,734.94
CONTR000423,2025-03-31,MEM00036,PF002,728.01
CONTR000424,2025-04-30,MEM00036,PF002,664.95
CONTR000425,2025-05-31,MEM00036,PF002,683.1
CONTR000426,2025-06-30,MEM00036,PF002,665.44
CONTR000427,2025-07-31,MEM00036,PF002,688.82
CONTR000428,2025-08-31,MEM00036,PF002,720.4
CONTR000429,2025-09-30,MEM00036,PF002,697.36
CONTR000430,2025-10-31,MEM00036,PF002,734.62
CONTR000431,2025-11-30,MEM00036,PF002,656.58
CONTR000432,2025-12-31,MEM00036,PF002,697.85
CONTR000433,2025-01-31,MEM00037,PF002,618.34
CONTR000434,2025-02-28,MEM00037,PF002,623.76
CONTR000435,2025-03-31,MEM00037,PF002,555.75
CONTR000436,2025-04-30,MEM00037,PF002,537.93
CONTR000437,2025-05-31,MEM00037,PF002,584.9
CONTR000438,2025-06-30,MEM00037,PF002,547.32
CONTR000439,2025-07-31,MEM00037,PF002,543.97
CONTR000440,2025-08-31,MEM00037,PF002,622.27
CONTR000441,2025-09-30,MEM00037,PF002,605.04
CONTR000442,2025-10-31,MEM00037,PF002,578.99
CONTR000443,2025-11-30,MEM00037,PF002,612.89
CONTR000444,2025-12-31,MEM00037,PF002,622.61
CONTR000445,2025-01-31,MEM00038,PF002,538.61
CONTR000446,2025-02-28,MEM00038,PF002,537.99
CONTR000447,2025-03-31,MEM00038,PF002,490.94
CONTR000448,2025-04-30,MEM00038,PF002,537.03
CONTR000449,2025-05-31,MEM00038,PF002,517.19
CONTR000450,2025-06-30,MEM00038,PF002,494.78
CONTR000451,2025-07-31,MEM00038,PF002,478.9
CONTR000452,2025-08-31,MEM00038,PF002,546.79
CONTR000453,2025-09-30,MEM00038,PF002,513.07
CONTR000454,2025-10-31,MEM00038,PF002,537.98
CONTR000455,2025-11-30,MEM00038,PF002,504.99
CONTR000456,2025-12-31,MEM00038,PF002,516.89
CONTR000457,2025-01-31,MEM00039,PF002,469.68
CONTR000458,2025-02-28,MEM00039,PF002,478.96
CONTR000459,2025-03-31,MEM00039,PF002,502.37
CONTR000460,2025-04-30,MEM00039,PF002,514.31
CONTR000461,2025-05-31,MEM00039,PF002,538.1
CONTR000462,2025-06-30,MEM00039,PF002,502.78
CONTR000463,2025-07-31,MEM00039,PF002,477.11
CONTR000464,2025-08-31,MEM00039,PF002,510.5
CONTR000465,2025-09-30,MEM00039,PF002,549.84
CONTR000466,2025-10-31,MEM00039,PF002,517.3
CONTR000467,2025-11-30,MEM00039,PF002,476.18
CONTR000468,2025-12-31,MEM00039,PF002,532.53
CONTR000469,2025-01-31,MEM00040,PF002,401.6
CONTR000470,2025-02-28,MEM00040,PF002,410.92
CONTR000471,2025-03-31,MEM00040,PF002,404.59
CONTR000472,2025-04-30,MEM00040,PF002,403.47
CONTR000473,2025-05-31,MEM00040,PF002,391.78
CONTR000474,2025-06-30,MEM00040,PF002,405.05
CONTR000475,2025-07-31,MEM00040,PF002,395.48
CONTR000476,2025-08-31,MEM00040,PF002,405.98
CONTR000477,2025-09-30,MEM00040,PF002,423.19
CONTR000478,2025-10-31,MEM00040,PF002,378.83
CONTR000479,2025-11-30,MEM00040,PF002,416.6
CONTR000480,2025-12-31,MEM00040,PF002,391.67
CONTR000481,2025-01-31,MEM00041,PF002,398.49
CONTR000482,2025-02-28,MEM00041,PF002,356.96
CONTR000483,2025-03-31,MEM00041,PF002,354.92
CONTR000484,2025-04-30,MEM00041,PF002,400.6
CONTR000485,2025-05-31,MEM00041,PF002,382.45
CONTR000486,2025-06-30,MEM00041,PF002,385.31
CONTR000487,2025-07-31,MEM00041,PF002,375.53
CONTR000488,2025-08-31,MEM00041,PF002,371.02
CONTR000489,2025-09-30,MEM00041,PF002,373.34
CONTR000490,2025-10-31,MEM00041,PF002,370.93
CONTR000491,2025-11-30,MEM00041,PF002,373.79
CONTR000492,2025-12-31,MEM00041,PF002,405.5
CONTR000493,2025-01-31,MEM00042,PF002,303.42
CONTR000494,2025-02-28,MEM00042,PF002,280.07
CONTR000495,2025-03-31,MEM00042,PF002,266.74
CONTR000496,2025-04-30,MEM00042,PF002,301.97
CONTR000497,2025-05-31,MEM00042,PF002,265.21
