cost_id,date,job_id,contractor_id,cost_category,actual_cost_cad
COST00061,2025-01-17,JOB0001,CON005,Rig,29926.21
COST00062,2025-01-17,JOB0001,CON002,Directional,10324.55
COST00063,2025-01-17,JOB0001,CON005,Fluids,7912.55
COST00064,2025-01-17,JOB0001,CON002,Cementing,4501.49
COST00065,2025-01-17,JOB0001,CON001,Rentals,6533.5
COST00066,2025-01-17,JOB0001,CON004,HSE,3515.83
COST00067,2025-01-18,JOB0001,CON006,Rig,30959.23
COST00068,2025-01-18,JOB0001,CON006,Directional,15168.15
COST00069,2025-01-18,JOB0001,CON002,Fluids,8605.58
COST00070,2025-01-18,JOB0001,CON005,Cementing,6283.85
COST00071,2025-01-18,JOB0001,CON002,Rentals,9034.38
COST00072,2025-01-18,JOB0001,CON005,HSE,3744.29
COST00073,2025-01-19,JOB0001,CON002,Rig,30181.67
COST00074,2025-01-19,JOB0001,CON001,Directional,13392.83
COST00075,2025-01-19,JOB0001,CON005,Fluids,9788.91
COST00076,2025-01-19,JOB0001,CON002,Cementing,6280.64
COST00077,2025-01-19,JOB0001,CON006,Rentals,9023.97
COST00078,2025-01-19,JOB0001,CON003,HSE,4122.03
COST00079,2025-01-20,JOB0001,CON005,Rig,23674.56
COST00080,2025-01-20,JOB0001,CON001,Directional,10893.79
COST00081,2025-01-20,JOB0001,CON002,Fluids,10151.18
COST00082,2025-01-20,JOB0001,CON006,Cementing,5318.17
COST00083,2025-01-20,JOB0001,CON003,Rentals,6891.02
COST00084,2025-01-20,JOB0001,CON004,HSE,3221.46
COST00085,2025-01-21,JOB0001,CON006,Rig,27205.32
COST00086,2025-01-21,JOB0001,CON003,Directional,9455.02
COST00087,2025-01-21,JOB0001,CON005,Fluids,7615.01
COST00088,2025-01-21,JOB0001,CON006,Cementing,3606.21
COST00089,2025-01-21,JOB0001,CON004,Rentals,5883.04
COST00090,2025-01-21,JOB0001,CON002,HSE,4296.72
COST00091,2025-01-22,JOB0001,CON004,Rig,25108.47
COST00092,2025-01-22,JOB0001,CON002,Directional,11785.99
COST00093,2025-01-22,JOB0001,CON001,Fluids,7101.88
COST00094,2025-01-22,JOB0001,CON001,Cementing,4822.52
COST00095,2025-01-22,JOB0001,CON005,Rentals,6297.83
COST00096,2025-01-22,JOB0001,CON002,HSE,4340.03
COST00097,2025-01-23,JOB0001,CON003,Rig,46815.01
COST00098,2025-01-23,JOB0001,CON004,Directional,17881.06
COST00099,2025-01-23,JOB0001,CON001,Fluids,12327.87
COST00100,2025-01-23,JOB0001,CON001,Cementing,6093.55
COST00101,2025-01-23,JOB0001,CON006,Rentals,11154.25
COST00102,2025-01-23,JOB0001,CON006,HSE,4719.69
COST00103,2025-01-24,JOB0001,CON006,Rig,29160.45
COST00104,2025-01-24,JOB0001,CON005,Directional,10387.53
COST00105,2025-01-24,JOB0001,CON003,Fluids,7594.35
COST00106,2025-01-24,JOB0001,CON002,Cementing,4663.63
COST00107,2025-01-24,JOB0001,CON002,Rentals,8455.39
COST00108,2025-01-24,JOB0001,CON006,HSE,3269.37
COST00109,2025-01-25,JOB0001,CON004,Rig,18980.08
COST00110,2025-01-25,JOB0001,CON006,Directional,10223.11
COST00111,2025-01-25,JOB0001,CON003,Fluids,6060.31
COST00112,2025-01-25,JOB0001,CON003,Cementing,4185.29
COST00113,2025-01-25,JOB0001,CON003,Rentals,7332.49
COST00114,2025-01-25,JOB0001,CON001,HSE,3077.29
COST00115,2025-01-26,JOB0001,CON002,Rig,24571.41
COST00116,2025-01-26,JOB0001,CON006,Directional,13558.09
COST00117,2025-01-26,JOB0001,CON005,Fluids,8518.27
COST00118,2025-01-26,JOB0001,CON006,Cementing,5693.11
COST00119,2025-01-26,JOB0001,CON002,Rentals,6415.64
COST00120,2025-01-26,JOB0001,CON004,HSE,4401.94
COST00121,2025-01-27,JOB0001,CON005,Rig,25826.78
COST00122,2025-01-27,JOB0001,CON002,Directional,9099.43
COST00123,2025-01-27,JOB0001,CON003,Fluids,6651.11
COST00124,2025-01-27,JOB0001,CON002,Cementing,4338.48
COST00125,2025-01-27,JOB0001,CON001,Rentals,7497.21
COST00126,2025-01-27,JOB0001,CON004,HSE,2975.1
COST00127,2025-01-28,JOB0001,CON003,Rig,35010.66
COST00128,2025-01-28,JOB0001,CON006,Directional,14862.96
COST00129,2025-01-28,JOB0001,CON003,Fluids,13457.28
COST00130,2025-01-28,JOB0001,CON005,Cementing,7368.53
COST00131,2025-01-28,JOB0001,CON001,Rentals,8939.56
COST00132,2025-01-28,JOB0001,CON006,HSE,6189.38
COST00133,2025-01-29,JOB0001,CON005,Rig,31099.95
COST00134,2025-01-29,JOB0001,CON002,Directional,14353.14
COST00135,2025-01-29,JOB0001,CON002,Fluids,8974.62
COST00136,2025-01-29,JOB0001,CON006,Cementing,5076.81
COST00137,2025-01-29,JOB0001,CON001,Rentals,9611.94
COST00138,2025-01-29,JOB0001,CON004,HSE,3897.37
COST00139,2025-01-30,JOB0001,CON006,Rig,35730.81
COST00140,2025-01-30,JOB0001,CON002,Directional,14503.04
COST00141,2025-01-30,JOB0001,CON003,Fluids,11496.03
COST00142,2025-01-30,JOB0001,CON002,Cementing,5343.52
COST00143,2025-01-30,JOB0001,CON006,Rentals,10219.63
COST00144,2025-01-30,JOB0001,CON006,HSE,3577.79
COST00145,2025-01-31,JOB0001,CON004,Rig,20153.54
COST00146,2025-01-31,JOB0001,CON003,Directional,12277.68
COST00147,2025-01-31,JOB0001,CON002,Fluids,7648.57
COST00148,2025-01-31,JOB0001,CON006,Cementing,5008.97
COST00149,2025-01-31,JOB0001,CON001,Rentals,7734.59
COST00150,2025-01-31,JOB0001,CON004,HSE,4348.68
COST00151,2025-02-01,JOB0001,CON005,Rig,26307.85
COST00152,2025-02-01,JOB0001,CON006,Directional,12910.13
COST00153,2025-02-01,JOB0001,CON006,Fluids,8039.04
COST00154,2025-02-01,JOB0001,CON002,Cementing,3985.85
COST00155,2025-02-01,JOB0001,CON006,Rentals,8822.1
COST00156,2025-02-01,JOB0001,CON004,HSE,3866.68
COST00157,2025-02-02,JOB0001,CON003,Rig,21199.16
COST00158,2025-02-02,JOB0001,CON004,Directional,7993.45
COST00159,2025-02-02,JOB0001,CON006,Fluids,8571.31
COST00160,2025-02-02,JOB0001,CON005,Cementing,3877.13
COST00161,2025-02-02,JOB0001,CON006,Rentals,8712.99
COST00162,2025-02-02,JOB0001,CON002,HSE,4041.59
COST00163,2025-02-03,JOB0001,CON006,Rig,22902.74
COST00164,2025-02-03,JOB0001,CON005,Directional,9433.36
COST00165,2025-02-03,JOB0001,CON005,Fluids,10259.92
COST00166,2025-02-03,JOB0001,CON004,Cementing,5364.64
COST00167,2025-02-03,JOB0001,CON005,Rentals,6126.18
COST00168,2025-02-03,JOB0001,CON006,HSE,3592.9
COST00169,2025-02-04,JOB0001,CON005,Rig,24371.79
COST00170,2025-02-04,JOB0001,CON004,Directional,14011.79
COST00171,2025-02-04,JOB0001,CON004,Fluids,6891.84
COST00172,2025-02-04,JOB0001,CON005,Cementing,6030.92
COST00173,2025-02-04,JOB0001,CON001,Rentals,8412.22
COST00174,2025-02-04,JOB0001,CON004,HSE,4325.29
COST00175,2025-02-05,JOB0001,CON005,Rig,23710.0
COST00176,2025-02-05,JOB0001,CON005,Directional,12414.85
COST00177,2025-02-05,JOB0001,CON003,Fluids,10550.19
COST00178,2025-02-05,JOB0001,CON002,Cementing,5533.63
COST00179,2025-02-05,JOB0001,CON005,Rentals,8422.38
COST00180,2025-02-05,JOB0001,CON005,HSE,3798.97
COST00181,2025-02-06,JOB0001,CON004,Rig,30273.86
COST00182,2025-02-06,JOB0001,CON005,Directional,11646.57
COST00183,2025-02-06,JOB0001,CON006,Fluids,9342.17
COST00184,2025-02-06,JOB0001,CON006,Cementing,5929.27
COST00185,2025-02-06,JOB0001,CON001,Rentals,6434.7
COST00186,2025-02-06,JOB0001,CON004,HSE,3646.44
COST00187,2025-02-07,JOB0001,CON002,Rig,22288.86
COST00188,2025-02-07,JOB0001,CON003,Directional,11349.61
COST00189,2025-02-07,JOB0001,CON003,Fluids,6826.64
COST00190,2025-02-07,JOB0001,CON006,Cementing,4982.47
COST00191,2025-02-07,JOB0001,CON001,Rentals,7843.25
COST00192,2025-02-07,JOB0001,CON003,HSE,4442.31
COST00193,2025-02-08,JOB0001,CON002,Rig,27982.69
COST00194,2025-02-08,JOB0001,CON003,Directional,8785.39
COST00195,2025-02-08,JOB0001,CON002,Fluids,8063.64
COST00196,2025-02-08,JOB0001,CON004,Cementing,4947.47
COST00197,2025-02-08,JOB0001,CON001,Rentals,8362.46
COST00198,2025-02-08,JOB0001,CON004,HSE,3602.17
COST00199,2025-02-09,JOB0001,CON003,Rig,23127.44
COST00200,2025-02-09,JOB0001,CON004,Directional,9611.84
COST00201,2025-02-09,JOB0001,CON005,Fluids,8585.07
COST00202,2025-02-09,JOB0001,CON006,Cementing,4511.35
COST00203,2025-02-09,JOB0001,CON006,Rentals,6324.15
COST00204,2025-02-09,JOB0001,CON002,HSE,4096.96
COST00205,2025-02-10,JOB0001,CON005,Rig,30052.19
COST00206,2025-02-10,JOB0001,CON003,Directional,11222.78
COST00207,2025-02-10,JOB0001,CON004,Fluids,10790.27
COST00208,2025-02-10,JOB0001,CON001,Cementing,5774.89
COST00209,2025-02-10,JOB0001,CON001,Rentals,8122.93
COST00210,2025-02-10,JOB0001,CON003,HSE,3245.05
COST00211,2025-02-11,JOB0001,CON005,Rig,26344.81
COST00212,2025-02-11,JOB0001,CON005,Directional,11351.88
COST00213,2025-02-11,JOB0001,CON001,Fluids,9318.02
COST00214,2025-02-11,JOB0001,CON002,Cementing,5727.15
COST00215,2025-02-11,JOB0001,CON005,Rentals,8640.84
COST00216,2025-02-11,JOB0001,CON005,HSE,3336.0
COST00217,2025-02-12,JOB0001,CON003,Rig,24199.52
COST00218,2025-02-12,JOB0001,CON005,Directional,12195.5
COST00219,2025-02-12,JOB0001,CON006,Fluids,9981.68
COST00220,2025-02-12,JOB0001,CON006,Cementing,5147.79
COST00221,2025-02-12,JOB0001,CON002,Rentals,8268.29
COST00222,2025-02-12,JOB0001,CON002,HSE,3806.81
COST00223,2025-02-13,JOB0001,CON001,Rig,31703.02
COST00224,2025-02-13,JOB0001,CON002,Directional,13386.23
COST00225,2025-02-13,JOB0001,CON001,Fluids,9780.57
COST00226,2025-02-13,JOB0001,CON006,Cementing,4554.05
COST00227,2025-02-13,JOB0001,CON003,Rentals,6497.68
COST00228,2025-02-13,JOB0001,CON001,HSE,2932.86
COST00229,2025-02-14,JOB0001,CON006,Rig,21992.37
COST00230,2025-02-14,JOB0001,CON006,Directional,9535.99
COST00231,2025-02-14,JOB0001,CON004,Fluids,6813.25
COST00232,2025-02-14,JOB0001,CON001,Cementing,4157.68
COST00233,2025-02-14,JOB0001,CON003,Rentals,8232.21
COST00234,2025-02-14,JOB0001,CON003,HSE,4038.9
COST00235,2025-01-21,JOB0002,CON005,Rig,25933.71
COST00236,2025-01-21,JOB0002,CON003,Directional,13738.89
COST00237,2025-01-21,JOB0002,CON001,Fluids,8604.82
COST00238,2025-01-21,JOB0002,CON003,Cementing,6302.83
COST00239,2025-01-21,JOB0002,CON005,Rentals,8030.48
COST00240,2025-01-21,JOB0002,CON001,HSE,4523.12
COST00241,2025-01-22,JOB0002,CON001,Rig,29405.25
COST00242,2025-01-22,JOB0002,CON004,Directional,19211.3
COST00243,2025-01-22,JOB0002,CON003,Fluids,9201.46
COST00244,2025-01-22,JOB0002,CON004,Cementing,7597.87
COST00245,2025-01-22,JOB0002,CON004,Rentals,11458.61
COST00246,2025-01-22,JOB0002,CON002,HSE,5620.7
COST00247,2025-01-23,JOB0002,CON004,Rig,28007.23
COST00248,2025-01-23,JOB0002,CON005,Directional,8963.19
COST00249,2025-01-23,JOB0002,CON003,Fluids,6852.69
COST00250,2025-01-23,JOB0002,CON004,Cementing,4233.37
COST00251,2025-01-23,JOB0002,CON005,Rentals,8223.82
COST00252,2025-01-23,JOB0002,CON002,HSE,3121.92
COST00253,2025-01-24,JOB0002,CON003,Rig,32906.39
COST00254,2025-01-24,JOB0002,CON001,Directional,10573.71
COST00255,2025-01-24,JOB0002,CON006,Fluids,9243.71
COST00256,2025-01-24,JOB0002,CON006,Cementing,6735.69
COST00257,2025-01-24,JOB0002,CON001,Rentals,8736.08
COST00258,2025-01-24,JOB0002,CON005,HSE,5082.31
COST00259,2025-01-25,JOB0002,CON002,Rig,39799.32
COST00260,2025-01-25,JOB0002,CON003,Directional,17792.45
COST00261,2025-01-25,JOB0002,CON003,Fluids,11849.86
COST00262,2025-01-25,JOB0002,CON006,Cementing,8031.67
COST00263,2025-01-25,JOB0002,CON002,Rentals,9566.37
COST00264,2025-01-25,JOB0002,CON001,HSE,5780.58
COST00265,2025-01-26,JOB0002,CON003,Rig,25602.85
COST00266,2025-01-26,JOB0002,CON003,Directional,13949.78
COST00267,2025-01-26,JOB0002,CON003,Fluids,8069.02
COST00268,2025-01-26,JOB0002,CON005,Cementing,4443.69
COST00269,2025-01-26,JOB0002,CON001,Rentals,8190.58
COST00270,2025-01-26,JOB0002,CON004,HSE,4637.61
COST00271,2025-01-27,JOB0002,CON002,Rig,36626.85
COST00272,2025-01-27,JOB0002,CON002,Directional,14013.48
COST00273,2025-01-27,JOB0002,CON003,Fluids,12012.26
COST00274,2025-01-27,JOB0002,CON001,Cementing,6844.59
COST00275,2025-01-27,JOB0002,CON004,Rentals,9133.22
COST00276,2025-01-27,JOB0002,CON006,HSE,4659.68
COST00277,2025-01-28,JOB0002,CON006,Rig,33677.95
COST00278,2025-01-28,JOB0002,CON005,Directional,12954.48
COST00279,2025-01-28,JOB0002,CON002,Fluids,9203.27
COST00280,2025-01-28,JOB0002,CON003,Cementing,7414.53
COST00281,2025-01-28,JOB0002,CON004,Rentals,11402.2
COST00282,2025-01-28,JOB0002,CON002,HSE,5912.64
COST00283,2025-01-29,JOB0002,CON005,Rig,31525.78
COST00284,2025-01-29,JOB0002,CON003,Directional,13337.57
COST00285,2025-01-29,JOB0002,CON005,Fluids,12010.47
COST00286,2025-01-29,JOB0002,CON003,Cementing,5424.36
COST00287,2025-01-29,JOB0002,CON004,Rentals,6858.56
COST00288,2025-01-29,JOB0002,CON004,HSE,4386.44
COST00289,2025-01-30,JOB0002,CON002,Rig,35188.8
COST00290,2025-01-30,JOB0002,CON003,Directional,12624.32
COST00291,2025-01-30,JOB0002,CON005,Fluids,13433.19
COST00292,2025-01-30,JOB0002,CON005,Cementing,5782.37
COST00293,2025-01-30,JOB0002,CON003,Rentals,10399.55
COST00294,2025-01-30,JOB0002,CON001,HSE,4020.14
COST00295,2025-01-31,JOB0002,CON005,Rig,26999.69
COST00296,2025-01-31,JOB0002,CON004,Directional,13266.01
COST00297,2025-01-31,JOB0002,CON003,Fluids,8982.51
COST00298,2025-01-31,JOB0002,CON003,Cementing,6083.58
COST00299,2025-01-31,JOB0002,CON002,Rentals,9158.59
COST00300,2025-01-31,JOB0002,CON005,HSE,4306.5
COST00301,2025-02-01,JOB0002,CON003,Rig,28308.63
COST00302,2025-02-01,JOB0002,CON004,Directional,13205.84
COST00303,2025-02-01,JOB0002,CON006,Fluids,9963.77
COST00304,2025-02-01,JOB0002,CON002,Cementing,5026.33
COST00305,2025-02-01,JOB0002,CON003,Rentals,9021.98
COST00306,2025-02-01,JOB0002,CON003,HSE,4961.32
COST00307,2025-02-02,JOB0002,CON004,Rig,34119.13
COST00308,2025-02-02,JOB0002,CON003,Directional,10563.79
COST00309,2025-02-02,JOB0002,CON005,Fluids,10075.93
COST00310,2025-02-02,JOB0002,CON002,Cementing,6498.63
COST00311,2025-02-02,JOB0002,CON001,Rentals,7280.66
COST00312,2025-02-02,JOB0002,CON003,HSE,3788.41
COST00313,2025-02-03,JOB0002,CON002,Rig,33495.85
COST00314,2025-02-03,JOB0002,CON006,Directional,14169.0
COST00315,2025-02-03,JOB0002,CON001,Fluids,11762.6
COST00316,2025-02-03,JOB0002,CON001,Cementing,6473.5
COST00317,2025-02-03,JOB0002,CON001,Rentals,10117.24
COST00318,2025-02-03,JOB0002,CON005,HSE,3930.48
COST00319,2025-02-04,JOB0002,CON001,Rig,29434.12
COST00320,2025-02-04,JOB0002,CON005,Directional,11811.03
COST00321,2025-02-04,JOB0002,CON002,Fluids,11917.99
COST00322,2025-02-04,JOB0002,CON006,Cementing,5987.52
COST00323,2025-02-04,JOB0002,CON006,Rentals,9030.59
COST00324,2025-02-04,JOB0002,CON001,HSE,5216.92
COST00325,2025-02-05,JOB0002,CON003,Rig,43237.19
COST00326,2025-02-05,JOB0002,CON005,Directional,14872.42
COST00327,2025-02-05,JOB0002,CON004,Fluids,11947.07
COST00328,2025-02-05,JOB0002,CON006,Cementing,7574.95
COST00329,2025-02-05,JOB0002,CON002,Rentals,13535.55
COST00330,2025-02-05,JOB0002,CON006,HSE,4618.38
COST00331,2025-02-06,JOB0002,CON001,Rig,32307.24
COST00332,2025-02-06,JOB0002,CON006,Directional,12876.94
COST00333,2025-02-06,JOB0002,CON006,Fluids,8149.2
COST00334,2025-02-06,JOB0002,CON004,Cementing,7054.92
COST00335,2025-02-06,JOB0002,CON004,Rentals,10290.02
COST00336,2025-02-06,JOB0002,CON001,HSE,5143.36
COST00337,2025-02-07,JOB0002,CON004,Rig,25111.59
COST00338,2025-02-07,JOB0002,CON003,Directional,11760.61
COST00339,2025-02-07,JOB0002,CON004,Fluids,11262.19
COST00340,2025-02-07,JOB0002,CON004,Cementing,4902.07
COST00341,2025-02-07,JOB0002,CON001,Rentals,10339.25
COST00342,2025-02-07,JOB0002,CON006,HSE,4986.79
COST00343,2025-02-08,JOB0002,CON004,Rig,30285.33
COST00344,2025-02-08,JOB0002,CON006,Directional,14678.35
COST00345,2025-02-08,JOB0002,CON002,Fluids,10219.81
COST00346,2025-02-08,JOB0002,CON003,Cementing,5368.59
COST00347,2025-02-08,JOB0002,CON003,Rentals,8376.73
COST00348,2025-02-08,JOB0002,CON005,HSE,3893.42
COST00349,2025-02-09,JOB0002,CON002,Rig,23528.17
COST00350,2025-02-09,JOB0002,CON002,Directional,10758.91
COST00351,2025-02-09,JOB0002,CON004,Fluids,9909.68
COST00352,2025-02-09,JOB0002,CON005,Cementing,6101.72
COST00353,2025-02-09,JOB0002,CON006,Rentals,8830.66
COST00354,2025-02-09,JOB0002,CON005,HSE,3177.25
COST00355,2025-02-10,JOB0002,CON004,Rig,30886.19
COST00356,2025-02-10,JOB0002,CON006,Directional,14139.63
COST00357,2025-02-10,JOB0002,CON002,Fluids,10944.72
COST00358,2025-02-10,JOB0002,CON005,Cementing,5142.23
COST00359,2025-02-10,JOB0002,CON006,Rentals,9018.48
COST00360,2025-02-10,JOB0002,CON004,HSE,4089.14
COST00361,2025-02-11,JOB0002,CON004,Rig,28312.73
COST00362,2025-02-11,JOB0002,CON003,Directional,11609.19
COST00363,2025-02-11,JOB0002,CON006,Fluids,9557.68
COST00364,2025-02-11,JOB0002,CON003,Cementing,6196.05
COST00365,2025-02-11,JOB0002,CON002,Rentals,9814.87
COST00366,2025-02-11,JOB0002,CON004,HSE,5001.22
COST00367,2025-02-12,JOB0002,CON003,Rig,26082.47
COST00368,2025-02-12,JOB0002,CON001,Directional,12720.6
COST00369,2025-02-12,JOB0002,CON001,Fluids,9365.43
COST00370,2025-02-12,JOB0002,CON003,Cementing,5994.04
COST00371,2025-02-12,JOB0002,CON002,Rentals,10562.99
COST00372,2025-02-12,JOB0002,CON005,HSE,4782.17
COST00373,2025-02-13,JOB0002,CON003,Rig,37161.09
COST00374,2025-02-13,JOB0002,CON001,Directional,14140.38
COST00375,2025-02-13,JOB0002,CON004,Fluids,9020.67
COST00376,2025-02-13,JOB0002,CON002,Cementing,4922.62
COST00377,2025-02-13,JOB0002,CON001,Rentals,11244.5
COST00378,2025-02-13,JOB0002,CON002,HSE,5225.62
COST00379,2025-02-14,JOB0002,CON002,Rig,35033.45
COST00380,2025-02-14,JOB0002,CON002,Directional,18442.84
COST00381,2025-02-14,JOB0002,CON006,Fluids,12100.23
COST00382,2025-02-14,JOB0002,CON006,Cementing,7065.95
COST00383,2025-02-14,JOB0002,CON001,Rentals,11038.55
COST00384,2025-02-14,JOB0002,CON005,HSE,4372.56
COST00385,2025-02-15,JOB0002,CON003,Rig,33030.25
COST00386,2025-02-15,JOB0002,CON001,Directional,19619.36
COST00387,2025-02-15,JOB0002,CON005,Fluids,11900.33
COST00388,2025-02-15,JOB0002,CON003,Cementing,6084.13
COST00389,2025-02-15,JOB0002,CON003,Rentals,11970.64
COST00390,2025-02-15,JOB0002,CON006,HSE,4873.16
COST00391,2025-02-16,JOB0002,CON005,Rig,23873.47
COST00392,2025-02-16,JOB0002,CON003,Directional,12903.15
COST00393,2025-02-16,JOB0002,CON001,Fluids,9123.99
COST00394,2025-02-16,JOB0002,CON005,Cementing,5780.24
COST00395,2025-02-16,JOB0002,CON005,Rentals,10672.71
COST00396,2025-02-16,JOB0002,CON006,HSE,4378.78
COST00397,2025-02-17,JOB0002,CON001,Rig,22162.8
COST00398,2025-02-17,JOB0002,CON001,Directional,13129.92
COST00399,2025-02-17,JOB0002,CON004,Fluids,8737.84
COST00400,2025-02-17,JOB0002,CON004,Cementing,5925.19
COST00401,2025-02-17,JOB0002,CON005,Rentals,6874.96
COST00402,2025-02-17,JOB0002,CON004,HSE,4654.24
COST00403,2025-02-18,JOB0002,CON001,Rig,25880.13
COST00404,2025-02-18,JOB0002,CON002,Directional,15214.74
COST00405,2025-02-18,JOB0002,CON003,Fluids,11854.99
COST00406,2025-02-18,JOB0002,CON006,Cementing,6912.97
COST00407,2025-02-18,JOB0002,CON001,Rentals,8727.38
COST00408,2025-02-18,JOB0002,CON002,HSE,5180.91
COST00409,2025-02-19,JOB0002,CON003,Rig,23304.96
COST00410,2025-02-19,JOB0002,CON006,Directional,13789.74
COST00411,2025-02-19,JOB0002,CON006,Fluids,10857.76
COST00412,2025-02-19,JOB0002,CON002,Cementing,4556.34
COST00413,2025-02-19,JOB0002,CON003,Rentals,7521.03
COST00414,2025-02-19,JOB0002,CON003,HSE,4781.52
COST00415,2025-02-20,JOB0002,CON005,Rig,34363.14
COST00416,2025-02-20,JOB0002,CON003,Directional,13455.15
COST00417,2025-02-20,JOB0002,CON004,Fluids,9592.21
COST00418,2025-02-20,JOB0002,CON006,Cementing,4693.88
COST00419,2025-02-20,JOB0002,CON006,Rentals,7086.01
COST00420,2025-02-20,JOB0002,CON002,HSE,3538.13
COST00421,2025-02-21,JOB0002,CON006,Rig,40200.02
COST00422,2025-02-21,JOB0002,CON004,Directional,14749.95
COST00423,2025-02-21,JOB0002,CON004,Fluids,15011.27
COST00424,2025-02-21,JOB0002,CON005,Cementing,6471.33
COST00425,2025-02-21,JOB0002,CON005,Rentals,11890.69
COST00426,2025-02-21,JOB0002,CON001,HSE,5871.79
COST00427,2025-02-22,JOB0002,CON001,Rig,27665.13
COST00428,2025-02-22,JOB0002,CON004,Directional,15635.64
COST00429,2025-02-22,JOB0002,CON003,Fluids,10554.62
COST00430,2025-02-22,JOB0002,CON003,Cementing,5250.74
COST00431,2025-02-22,JOB0002,CON006,Rentals,9728.63
COST00432,2025-02-22,JOB0002,CON005,HSE,4677.06
COST00433,2025-02-23,JOB0002,CON002,Rig,33270.14
COST00434,2025-02-23,JOB0002,CON001,Directional,13725.7
COST00435,2025-02-23,JOB0002,CON003,Fluids,13780.36
COST00436,2025-02-23,JOB0002,CON004,Cementing,7671.57
COST00437,2025-02-23,JOB0002,CON002,Rentals,10602.63
COST00438,2025-02-23,JOB0002,CON003,HSE,5766.18
COST00439,2025-02-24,JOB0002,CON001,Rig,31873.84
COST00440,2025-02-24,JOB0002,CON006,Directional,15040.25
COST00441,2025-02-24,JOB0002,CON004,Fluids,11809.09
COST00442,2025-02-24,JOB0002,CON005,Cementing,7995.05
