npt_event_id,date,job_id,contractor_id,npt_category,npt_hours,estimated_cost_impact_cad
NPT00063,2025-03-17,JOB0003,CON004,Weather,3.43,20002.26
NPT00064,2025-03-18,JOB0003,CON004,Directional,4.46,38348.69
NPT00065,2025-03-19,JOB0003,CON002,Mechanical,9.5,63005.57
NPT00066,2025-03-22,JOB0003,CON004,Directional,10.94,96939.49
NPT00067,2025-03-27,JOB0003,CON003,Waiting on materials,4.3,35104.74
NPT00068,2025-03-28,JOB0003,CON002,Logistics,15.45,109529.64
NPT00069,2025-02-21,JOB0004,CON006,Mechanical,4.51,28044.1
NPT00070,2025-02-23,JOB0004,CON003,Weather,13.68,79598.36
NPT00071,2025-02-25,JOB0004,CON005,Weather,5.14,39630.44
NPT00072,2025-02-26,JOB0004,CON006,Waiting on materials,6.72,63779.62
NPT00073,2025-02-27,JOB0004,CON003,Directional,4.7,34440.06
NPT00074,2025-03-02,JOB0004,CON006,Weather,3.68,29914.84
NPT00075,2025-03-03,JOB0004,CON002,Waiting on materials,6.76,48262.54
NPT00076,2025-03-04,JOB0004,CON005,Logistics,4.17,35423.48
NPT00077,2025-03-05,JOB0004,CON001,Weather,4.11,38654.07
NPT00078,2025-03-10,JOB0004,CON002,Waiting on materials,5.09,47525.93
NPT00079,2025-03-12,JOB0004,CON006,Weather,3.46,30975.19
NPT00080,2025-03-14,JOB0004,CON005,Directional,7.38,66742.41
NPT00081,2025-03-20,JOB0004,CON003,Waiting on materials,3.71,23123.03
NPT00082,2025-03-21,JOB0004,CON003,Directional,11.09,64218.73
NPT00083,2025-03-22,JOB0004,CON005,Waiting on materials,4.74,35174.95
NPT00084,2025-03-23,JOB0004,CON004,Mechanical,9.37,56427.01
NPT00085,2025-03-24,JOB0004,CON003,Directional,3.3,26038.93
NPT00086,2025-03-25,JOB0004,CON002,Directional,5.49,44743.57
NPT00087,2025-03-26,JOB0004,CON006,Waiting on materials,3.95,35598.36
NPT00088,2025-03-27,JOB0004,CON006,Mechanical,4.35,32070.78
NPT00089,2025-03-11,JOB0005,CON005,Directional,12.01,70157.68
NPT00090,2025-03-13,JOB0005,CON003,Waiting on materials,5.08,29540.26
NPT00091,2025-03-14,JOB0005,CON003,Weather,3.45,27274.81
NPT00092,2025-03-15,JOB0005,CON006,Weather,3.73,20781.42
NPT00093,2025-03-16,JOB0005,CON003,Weather,4.88,28123.38
NPT00094,2025-03-17,JOB0005,CON004,Weather,5.2,40941.08
NPT00095,2025-03-18,JOB0005,CON001,Waiting on materials,6.78,63890.8
NPT00096,2025-03-22,JOB0005,CON003,Logistics,3.38,24130.42
NPT00097,2025-03-23,JOB0005,CON001,Mechanical,9.21,82227.48
NPT00098,2025-03-24,JOB0005,CON002,Waiting on materials,6.76,60952.46
NPT00099,2025-03-25,JOB0005,CON006,Mechanical,4.56,37565.4
NPT00100,2025-03-26,JOB0005,CON005,Waiting on materials,11.91,81737.02
NPT00101,2025-03-29,JOB0005,CON003,Weather,3.59,27569.75
NPT00102,2025-04-02,JOB0005,CON001,Directional,3.59,23252.0
NPT00103,2025-04-03,JOB0005,CON002,Waiting on materials,5.33,32986.06
NPT00104,2025-04-05,JOB0005,CON005,Weather,12.01,106731.79
NPT00105,2025-04-07,JOB0005,CON002,Mechanical,3.63,27998.42
NPT00106,2025-04-08,JOB0005,CON006,Weather,12.39,109532.76
NPT00107,2025-04-10,JOB0005,CON001,Directional,5.97,39124.26
NPT00108,2025-04-11,JOB0005,CON004,Weather,11.04,82356.61
NPT00109,2025-04-13,JOB0005,CON005,Directional,4.21,39191.65
NPT00110,2025-04-15,JOB0005,CON002,Waiting on materials,3.8,30239.46
NPT00111,2025-04-17,JOB0005,CON003,Weather,4.78,32926.4
NPT00112,2025-04-20,JOB0005,CON005,Waiting on materials,3.51,26976.47
NPT00113,2025-04-22,JOB0005,CON004,Directional,4.15,24857.78
NPT00114,2025-04-27,JOB0005,CON003,Logistics,6.47,52831.52
NPT00115,2025-04-30,JOB0005,CON004,Directional,3.93,23620.11
NPT00116,2025-04-03,JOB0006,CON003,Mechanical,7.05,48701.8
NPT00117,2025-04-05,JOB0006,CON002,Directional,3.25,30532.54
NPT00118,2025-04-07,JOB0006,CON004,Waiting on materials,10.63,83035.34
NPT00119,2025-04-08,JOB0006,CON006,Mechanical,6.02,54000.04
NPT00120,2025-04-09,JOB0006,CON001,Mechanical,6.59,60395.54
NPT00121,2025-04-10,JOB0006,CON005,Directional,3.7,27572.77
NPT00122,2025-04-11,JOB0006,CON001,Logistics,10.08,88708.76
NPT00123,2025-04-12,JOB0006,CON003,Waiting on materials,4.25,25337.21
NPT00124,2025-04-13,JOB0006,CON006,Directional,6.94,55479.66
NPT00125,2025-04-14,JOB0006,CON002,Waiting on materials,6.16,51724.23
NPT00126,2025-04-16,JOB0006,CON001,Directional,9.54,85180.85
NPT00127,2025-04-19,JOB0006,CON005,Mechanical,11.71,80922.33
NPT00128,2025-04-27,JOB0006,CON003,Logistics,4.69,38158.28
NPT00129,2025-04-30,JOB0006,CON001,Waiting on materials,12.15,99821.42
NPT00130,2025-05-01,JOB0006,CON003,Waiting on materials,4.01,32179.71
NPT00131,2025-05-04,JOB0006,CON001,Directional,9.85,73430.44
NPT00132,2025-05-06,JOB0006,CON004,Waiting on materials,5.04,38392.2
NPT00133,2025-05-09,JOB0006,CON006,Logistics,4.22,30199.22
NPT00134,2025-05-10,JOB0006,CON004,Directional,3.88,31614.02
NPT00135,2025-04-23,JOB0007,CON003,Directional,4.17,38391.5
NPT00136,2025-04-24,JOB0007,CON004,Weather,9.42,71297.73
NPT00137,2025-04-25,JOB0007,CON002,Weather,3.77,31678.78
NPT00138,2025-04-27,JOB0007,CON001,Mechanical,4.17,37647.1
NPT00139,2025-04-28,JOB0007,CON005,Weather,4.36,34029.51
NPT00140,2025-05-02,JOB0007,CON001,Directional,6.47,38428.99
NPT00141,2025-05-03,JOB0007,CON002,Directional,5.48,44286.19
NPT00142,2025-05-05,JOB0007,CON003,Mechanical,6.3,49296.69
NPT00143,2025-05-06,JOB0007,CON006,Directional,4.03,35837.62
NPT00144,2025-05-07,JOB0007,CON004,Waiting on materials,3.84,23660.95
NPT00145,2025-05-10,JOB0007,CON001,Weather,10.63,77384.18
NPT00146,2025-05-13,JOB0007,CON002,Waiting on materials,4.86,32523.45
NPT00147,2025-05-16,JOB0007,CON002,Mechanical,4.62,39688.0
NPT00148,2025-05-17,JOB0007,CON002,Logistics,3.38,29504.26
NPT00149,2025-05-18,JOB0007,CON001,Waiting on materials,5.03,38996.18
NPT00150,2025-05-19,JOB0007,CON002,Waiting on materials,7.59,59423.73
NPT00151,2025-05-20,JOB0007,CON003,Mechanical,6.15,39138.0
NPT00152,2025-05-21,JOB0007,CON006,Weather,3.13,18339.0
NPT00153,2025-05-25,JOB0007,CON003,Directional,3.83,22591.34
NPT00154,2025-05-27,JOB0007,CON002,Weather,5.11,35181.42
NPT00155,2025-06-01,JOB0007,CON005,Weather,3.38,21347.09
NPT00156,2025-06-02,JOB0007,CON001,Mechanical,13.72,101158.05
NPT00157,2025-06-04,JOB0007,CON003,Logistics,6.12,52165.17
NPT00158,2025-06-05,JOB0007,CON004,Mechanical,9.7,75432.37
NPT00159,2025-06-06,JOB0007,CON002,Weather,3.75,35572.77
NPT00160,2025-06-07,JOB0007,CON004,Mechanical,7.01,49995.63
NPT00161,2025-06-08,JOB0007,CON002,Waiting on materials,6.38,59350.63
NPT00162,2025-05-13,JOB0008,CON001,Waiting on materials,4.39,24908.09
NPT00163,2025-05-16,JOB0008,CON006,Mechanical,6.72,41138.16
NPT00164,2025-05-17,JOB0008,CON006,Weather,3.35,21505.98
NPT00165,2025-05-20,JOB0008,CON005,Directional,4.12,23149.58
NPT00166,2025-05-22,JOB0008,CON003,Weather,5.86,35373.56
NPT00167,2025-05-25,JOB0008,CON002,Weather,5.59,43289.96
NPT00168,2025-05-27,JOB0008,CON001,Waiting on materials,3.29,18543.91
NPT00169,2025-05-28,JOB0008,CON006,Weather,3.19,25731.43
NPT00170,2025-05-30,JOB0008,CON002,Waiting on materials,11.36,93700.98
NPT00171,2025-06-01,JOB0008,CON002,Waiting on materials,3.44,29525.28
NPT00172,2025-06-02,JOB0008,CON003,Waiting on materials,3.33,19830.87
NPT00173,2025-06-06,JOB0008,CON001,Logistics,5.42,34269.96
NPT00174,2025-06-07,JOB0008,CON006,Mechanical,12.38,85775.58
NPT00175,2025-06-11,JOB0008,CON003,Logistics,3.23,23933.15
NPT00176,2025-06-13,JOB0008,CON006,Mechanical,5.55,42540.67
NPT00177,2025-06-15,JOB0008,CON006,Mechanical,13.59,105772.86
NPT00178,2025-06-17,JOB0008,CON001,Mechanical,3.42,20517.39
NPT00179,2025-06-19,JOB0008,CON006,Mechanical,9.98,57741.8
NPT00180,2025-06-20,JOB0008,CON001,Logistics,3.07,17262.89
