date,commodity_id,contract_month,futures_price_usd_mt
2025-06-05,WHEAT,2025-03,208.17
2025-06-06,WHEAT,2025-03,207.09
2025-06-09,WHEAT,2025-03,206.58
2025-06-10,WHEAT,2025-03,207.11
2025-06-11,WHEAT,2025-03,202.96
2025-06-12,WHEAT,2025-03,201.75
2025-06-13,WHEAT,2025-03,205.1
2025-06-16,WHEAT,2025-03,202.74
2025-06-17,WHEAT,2025-03,200.44
2025-06-18,WHEAT,2025-03,205.72
2025-06-19,WHEAT,2025-03,208.31
2025-06-20,WHEAT,2025-03,204.15
2025-06-23,WHEAT,2025-03,207.43
2025-06-24,WHEAT,2025-03,205.8
2025-06-25,WHEAT,2025-03,209.66
2025-06-26,WHEAT,2025-03,209.12
2025-06-27,WHEAT,2025-03,205.47
2025-06-30,WHEAT,2025-03,207.3
2025-01-02,WHEAT,2025-05,219.6
2025-01-03,WHEAT,2025-05,218.65
2025-01-06,WHEAT,2025-05,219.24
2025-01-07,WHEAT,2025-05,216.64
2025-01-08,WHEAT,2025-05,217.6
2025-01-09,WHEAT,2025-05,215.31
2025-01-10,WHEAT,2025-05,211.48
2025-01-13,WHEAT,2025-05,212.12
2025-01-14,WHEAT,2025-05,212.14
2025-01-15,WHEAT,2025-05,214.79
2025-01-16,WHEAT,2025-05,218.93
2025-01-17,WHEAT,2025-05,224.11
2025-01-20,WHEAT,2025-05,225.63
2025-01-21,WHEAT,2025-05,223.05
2025-01-22,WHEAT,2025-05,219.15
2025-01-23,WHEAT,2025-05,218.32
2025-01-24,WHEAT,2025-05,217.3
2025-01-27,WHEAT,2025-05,216.91
2025-01-28,WHEAT,2025-05,216.4
2025-01-29,WHEAT,2025-05,214.79
2025-01-30,WHEAT,2025-05,217.87
2025-01-31,WHEAT,2025-05,217.31
2025-02-03,WHEAT,2025-05,217.17
2025-02-04,WHEAT,2025-05,216.2
2025-02-05,WHEAT,2025-05,209.86
2025-02-06,WHEAT,2025-05,209.71
2025-02-07,WHEAT,2025-05,209.4
2025-02-10,WHEAT,2025-05,211.85
2025-02-11,WHEAT,2025-05,213.92
2025-02-12,WHEAT,2025-05,217.4
2025-02-13,WHEAT,2025-05,215.29
2025-02-14,WHEAT,2025-05,213.54
2025-02-17,WHEAT,2025-05,212.67
2025-02-18,WHEAT,2025-05,211.55
2025-02-19,WHEAT,2025-05,214.08
2025-02-20,WHEAT,2025-05,214.07
2025-02-21,WHEAT,2025-05,214.29
2025-02-24,WHEAT,2025-05,211.54
2025-02-25,WHEAT,2025-05,213.6
2025-02-26,WHEAT,2025-05,213.36
2025-02-27,WHEAT,2025-05,213.71
2025-02-28,WHEAT,2025-05,214.21
2025-03-03,WHEAT,2025-05,214.23
2025-03-04,WHEAT,2025-05,216.1
2025-03-05,WHEAT,2025-05,211.81
2025-03-06,WHEAT,2025-05,211.42
2025-03-07,WHEAT,2025-05,207.43
2025-03-10,WHEAT,2025-05,209.42
2025-03-11,WHEAT,2025-05,211.75
2025-03-12,WHEAT,2025-05,210.18
2025-03-13,WHEAT,2025-05,212.99
2025-03-14,WHEAT,2025-05,211.85
2025-03-17,WHEAT,2025-05,214.44
2025-03-18,WHEAT,2025-05,214.28
2025-03-19,WHEAT,2025-05,213.94
2025-03-20,WHEAT,2025-05,217.28
2025-03-21,WHEAT,2025-05,217.43
2025-03-24,WHEAT,2025-05,221.04
2025-03-25,WHEAT,2025-05,221.44
2025-03-26,WHEAT,2025-05,220.06
2025-03-27,WHEAT,2025-05,215.56
2025-03-28,WHEAT,2025-05,217.54
2025-03-31,WHEAT,2025-05,223.77
2025-04-01,WHEAT,2025-05,221.87
2025-04-02,WHEAT,2025-05,222.7
2025-04-03,WHEAT,2025-05,224.83
2025-04-04,WHEAT,2025-05,222.04
2025-04-07,WHEAT,2025-05,220.79
2025-04-08,WHEAT,2025-05,223.82
2025-04-09,WHEAT,2025-05,223.17
2025-04-10,WHEAT,2025-05,220.96
2025-04-11,WHEAT,2025-05,220.73
2025-04-14,WHEAT,2025-05,222.42
2025-04-15,WHEAT,2025-05,223.12
2025-04-16,WHEAT,2025-05,224.6
2025-04-17,WHEAT,2025-05,225.51
2025-04-18,WHEAT,2025-05,221.76
2025-04-21,WHEAT,2025-05,220.4
2025-04-22,WHEAT,2025-05,217.9
2025-04-23,WHEAT,2025-05,214.97
2025-04-24,WHEAT,2025-05,214.31
2025-04-25,WHEAT,2025-05,214.38
2025-04-28,WHEAT,2025-05,216.35
2025-04-29,WHEAT,2025-05,216.23
2025-04-30,WHEAT,2025-05,215.38
2025-05-01,WHEAT,2025-05,212.17
2025-05-02,WHEAT,2025-05,212.98
2025-05-05,WHEAT,2025-05,214.08
2025-05-06,WHEAT,2025-05,215.25
2025-05-07,WHEAT,2025-05,218.38
2025-05-08,WHEAT,2025-05,218.55
2025-05-09,WHEAT,2025-05,216.14
2025-05-12,WHEAT,2025-05,217.24
2025-05-13,WHEAT,2025-05,215.29
2025-05-14,WHEAT,2025-05,216.9
2025-05-15,WHEAT,2025-05,217.64
2025-05-16,WHEAT,2025-05,215.2
2025-05-19,WHEAT,2025-05,216.98
2025-05-20,WHEAT,2025-05,220.44
2025-05-21,WHEAT,2025-05,224.74
2025-05-22,WHEAT,2025-05,222.31
2025-05-23,WHEAT,2025-05,221.61
2025-05-26,WHEAT,2025-05,218.05
2025-05-27,WHEAT,2025-05,218.22
2025-05-28,WHEAT,2025-05,217.42
2025-05-29,WHEAT,2025-05,221.48
2025-05-30,WHEAT,2025-05,220.49
2025-06-02,WHEAT,2025-05,218.42
2025-06-03,WHEAT,2025-05,213.52
2025-06-04,WHEAT,2025-05,214.03
2025-06-05,WHEAT,2025-05,211.16
2025-06-06,WHEAT,2025-05,211.51
2025-06-09,WHEAT,2025-05,206.82
2025-06-10,WHEAT,2025-05,208.28
2025-06-11,WHEAT,2025-05,203.2
2025-06-12,WHEAT,2025-05,201.05
2025-06-13,WHEAT,2025-05,208.11
2025-06-16,WHEAT,2025-05,205.22
2025-06-17,WHEAT,2025-05,201.44
2025-06-18,WHEAT,2025-05,203.95
2025-06-19,WHEAT,2025-05,207.78
2025-06-20,WHEAT,2025-05,208.23
2025-06-23,WHEAT,2025-05,210.8
2025-06-24,WHEAT,2025-05,209.25
2025-06-25,WHEAT,2025-05,211.44
2025-06-26,WHEAT,2025-05,210.68
2025-06-27,WHEAT,2025-05,208.0
2025-06-30,WHEAT,2025-05,210.86
2025-01-02,WHEAT,2025-07,224.1
2025-01-03,WHEAT,2025-07,222.03
2025-01-06,WHEAT,2025-07,222.22
2025-01-07,WHEAT,2025-07,219.0
2025-01-08,WHEAT,2025-07,220.61
2025-01-09,WHEAT,2025-07,218.68
2025-01-10,WHEAT,2025-07,217.54
2025-01-13,WHEAT,2025-07,216.37
2025-01-14,WHEAT,2025-07,214.12
2025-01-15,WHEAT,2025-07,215.85
2025-01-16,WHEAT,2025-07,222.21
2025-01-17,WHEAT,2025-07,226.4
2025-01-20,WHEAT,2025-07,229.01
2025-01-21,WHEAT,2025-07,224.96
2025-01-22,WHEAT,2025-07,222.76
2025-01-23,WHEAT,2025-07,221.84
2025-01-24,WHEAT,2025-07,220.36
2025-01-27,WHEAT,2025-07,220.98
2025-01-28,WHEAT,2025-07,217.65
2025-01-29,WHEAT,2025-07,216.74
2025-01-30,WHEAT,2025-07,219.38
2025-01-31,WHEAT,2025-07,220.68
2025-02-03,WHEAT,2025-07,218.15
2025-02-04,WHEAT,2025-07,218.54
2025-02-05,WHEAT,2025-07,213.98
2025-02-06,WHEAT,2025-07,214.9
2025-02-07,WHEAT,2025-07,210.9
2025-02-10,WHEAT,2025-07,216.09
2025-02-11,WHEAT,2025-07,215.36
2025-02-12,WHEAT,2025-07,218.24
2025-02-13,WHEAT,2025-07,218.44
2025-02-14,WHEAT,2025-07,215.65
2025-02-17,WHEAT,2025-07,213.7
2025-02-18,WHEAT,2025-07,212.41
2025-02-19,WHEAT,2025-07,216.92
2025-02-20,WHEAT,2025-07,213.99
2025-02-21,WHEAT,2025-07,217.51
2025-02-24,WHEAT,2025-07,215.71
2025-02-25,WHEAT,2025-07,217.21
2025-02-26,WHEAT,2025-07,218.15
2025-02-27,WHEAT,2025-07,217.56
2025-02-28,WHEAT,2025-07,219.39
2025-03-03,WHEAT,2025-07,215.78
2025-03-04,WHEAT,2025-07,216.41
2025-03-05,WHEAT,2025-07,215.03
2025-03-06,WHEAT,2025-07,212.36
2025-03-07,WHEAT,2025-07,209.68
2025-03-10,WHEAT,2025-07,210.4
2025-03-11,WHEAT,2025-07,214.33
2025-03-12,WHEAT,2025-07,215.08
2025-03-13,WHEAT,2025-07,214.54
2025-03-14,WHEAT,2025-07,214.2
2025-03-17,WHEAT,2025-07,218.57
2025-03-18,WHEAT,2025-07,218.82
2025-03-19,WHEAT,2025-07,217.03
2025-03-20,WHEAT,2025-07,218.66
2025-03-21,WHEAT,2025-07,220.82
2025-03-24,WHEAT,2025-07,223.5
2025-03-25,WHEAT,2025-07,222.07
2025-03-26,WHEAT,2025-07,221.13
2025-03-27,WHEAT,2025-07,218.79
2025-03-28,WHEAT,2025-07,220.78
2025-03-31,WHEAT,2025-07,225.45
2025-04-01,WHEAT,2025-07,223.27
2025-04-02,WHEAT,2025-07,225.57
2025-04-03,WHEAT,2025-07,228.44
2025-04-04,WHEAT,2025-07,224.54
2025-04-07,WHEAT,2025-07,223.42
2025-04-08,WHEAT,2025-07,221.66
2025-04-09,WHEAT,2025-07,222.24
2025-04-10,WHEAT,2025-07,223.18
2025-04-11,WHEAT,2025-07,221.99
2025-04-14,WHEAT,2025-07,224.64
2025-04-15,WHEAT,2025-07,228.9
2025-04-16,WHEAT,2025-07,225.59
2025-04-17,WHEAT,2025-07,227.29
2025-04-18,WHEAT,2025-07,224.3
2025-04-21,WHEAT,2025-07,225.71
2025-04-22,WHEAT,2025-07,220.9
2025-04-23,WHEAT,2025-07,220.1
2025-04-24,WHEAT,2025-07,220.09
2025-04-25,WHEAT,2025-07,215.62
2025-04-28,WHEAT,2025-07,217.83
2025-04-29,WHEAT,2025-07,216.17
2025-04-30,WHEAT,2025-07,216.13
2025-05-01,WHEAT,2025-07,216.65
2025-05-02,WHEAT,2025-07,215.39
2025-05-05,WHEAT,2025-07,215.12
2025-05-06,WHEAT,2025-07,218.69
2025-05-07,WHEAT,2025-07,220.13
2025-05-08,WHEAT,2025-07,221.86
2025-05-09,WHEAT,2025-07,218.39
2025-05-12,WHEAT,2025-07,217.93
2025-05-13,WHEAT,2025-07,219.71
2025-05-14,WHEAT,2025-07,220.3
2025-05-15,WHEAT,2025-07,217.83
2025-05-16,WHEAT,2025-07,215.65
2025-05-19,WHEAT,2025-07,218.55
2025-05-20,WHEAT,2025-07,221.82
2025-05-21,WHEAT,2025-07,227.01
2025-05-22,WHEAT,2025-07,223.45
2025-05-23,WHEAT,2025-07,224.92
2025-05-26,WHEAT,2025-07,220.61
2025-05-27,WHEAT,2025-07,218.91
2025-05-28,WHEAT,2025-07,221.73
2025-05-29,WHEAT,2025-07,223.63
2025-05-30,WHEAT,2025-07,221.23
2025-06-02,WHEAT,2025-07,222.2
2025-06-03,WHEAT,2025-07,215.89
2025-06-04,WHEAT,2025-07,216.1
2025-06-05,WHEAT,2025-07,214.3
2025-06-06,WHEAT,2025-07,212.3
2025-06-09,WHEAT,2025-07,211.83
2025-06-10,WHEAT,2025-07,210.54
2025-06-11,WHEAT,2025-07,207.37
2025-06-12,WHEAT,2025-07,206.6
2025-06-13,WHEAT,2025-07,207.92
2025-06-16,WHEAT,2025-07,204.0
2025-06-17,WHEAT,2025-07,206.4
2025-06-18,WHEAT,2025-07,210.84
2025-06-19,WHEAT,2025-07,213.1
2025-06-20,WHEAT,2025-07,209.17
2025-06-23,WHEAT,2025-07,210.26
2025-06-24,WHEAT,2025-07,210.94
2025-06-25,WHEAT,2025-07,214.36
2025-06-26,WHEAT,2025-07,211.44
2025-06-27,WHEAT,2025-07,212.84
2025-06-30,WHEAT,2025-07,214.27
2025-01-02,WHEAT,2025-09,224.97
2025-01-03,WHEAT,2025-09,225.5
2025-01-06,WHEAT,2025-09,226.2
2025-01-07,WHEAT,2025-09,221.38
2025-01-08,WHEAT,2025-09,222.08
2025-01-09,WHEAT,2025-09,221.85
2025-01-10,WHEAT,2025-09,219.77
2025-01-13,WHEAT,2025-09,215.19
2025-01-14,WHEAT,2025-09,217.89
2025-01-15,WHEAT,2025-09,218.93
2025-01-16,WHEAT,2025-09,225.36
2025-01-17,WHEAT,2025-09,229.08
2025-01-20,WHEAT,2025-09,231.96
2025-01-21,WHEAT,2025-09,226.87
2025-01-22,WHEAT,2025-09,224.4
2025-01-23,WHEAT,2025-09,224.65
2025-01-24,WHEAT,2025-09,221.7
2025-01-27,WHEAT,2025-09,222.02
2025-01-28,WHEAT,2025-09,221.94
2025-01-29,WHEAT,2025-09,219.97
2025-01-30,WHEAT,2025-09,220.59
2025-01-31,WHEAT,2025-09,222.74
2025-02-03,WHEAT,2025-09,221.46
2025-02-04,WHEAT,2025-09,220.01
2025-02-05,WHEAT,2025-09,216.99
2025-02-06,WHEAT,2025-09,214.26
2025-02-07,WHEAT,2025-09,214.26
2025-02-10,WHEAT,2025-09,220.03
2025-02-11,WHEAT,2025-09,219.18
2025-02-12,WHEAT,2025-09,218.89
2025-02-13,WHEAT,2025-09,221.58
2025-02-14,WHEAT,2025-09,218.68
2025-02-17,WHEAT,2025-09,215.7
2025-02-18,WHEAT,2025-09,213.63
2025-02-19,WHEAT,2025-09,220.16
2025-02-20,WHEAT,2025-09,218.01
2025-02-21,WHEAT,2025-09,221.89
2025-02-24,WHEAT,2025-09,217.96
2025-02-25,WHEAT,2025-09,219.76
2025-02-26,WHEAT,2025-09,219.9
2025-02-27,WHEAT,2025-09,220.68
2025-02-28,WHEAT,2025-09,220.38
2025-03-03,WHEAT,2025-09,219.79
2025-03-04,WHEAT,2025-09,218.72
2025-03-05,WHEAT,2025-09,217.91
2025-03-06,WHEAT,2025-09,215.47
2025-03-07,WHEAT,2025-09,214.39
2025-03-10,WHEAT,2025-09,215.5
2025-03-11,WHEAT,2025-09,216.41
2025-03-12,WHEAT,2025-09,216.76
2025-03-13,WHEAT,2025-09,217.35
2025-03-14,WHEAT,2025-09,217.29
2025-03-17,WHEAT,2025-09,221.18
2025-03-18,WHEAT,2025-09,218.09
2025-03-19,WHEAT,2025-09,218.84
2025-03-20,WHEAT,2025-09,221.09
2025-03-21,WHEAT,2025-09,220.25
2025-03-24,WHEAT,2025-09,224.85
2025-03-25,WHEAT,2025-09,225.28
2025-03-26,WHEAT,2025-09,223.58
2025-03-27,WHEAT,2025-09,222.29
2025-03-28,WHEAT,2025-09,224.1
2025-03-31,WHEAT,2025-09,226.74
2025-04-01,WHEAT,2025-09,227.44
2025-04-02,WHEAT,2025-09,227.88
2025-04-03,WHEAT,2025-09,228.66
2025-04-04,WHEAT,2025-09,226.45
2025-04-07,WHEAT,2025-09,226.24
2025-04-08,WHEAT,2025-09,226.69
2025-04-09,WHEAT,2025-09,226.84
2025-04-10,WHEAT,2025-09,226.1
2025-04-11,WHEAT,2025-09,226.56
2025-04-14,WHEAT,2025-09,225.34
2025-04-15,WHEAT,2025-09,229.35
2025-04-16,WHEAT,2025-09,229.31
2025-04-17,WHEAT,2025-09,229.55
2025-04-18,WHEAT,2025-09,224.95
2025-04-21,WHEAT,2025-09,227.32
2025-04-22,WHEAT,2025-09,224.47
2025-04-23,WHEAT,2025-09,221.27
2025-04-24,WHEAT,2025-09,220.54
2025-04-25,WHEAT,2025-09,221.23
2025-04-28,WHEAT,2025-09,219.3
2025-04-29,WHEAT,2025-09,217.53
2025-04-30,WHEAT,2025-09,218.22
2025-05-01,WHEAT,2025-09,219.89
2025-05-02,WHEAT,2025-09,217.95
2025-05-05,WHEAT,2025-09,220.46
2025-05-06,WHEAT,2025-09,219.42
2025-05-07,WHEAT,2025-09,222.12
2025-05-08,WHEAT,2025-09,223.53
2025-05-09,WHEAT,2025-09,221.72
2025-05-12,WHEAT,2025-09,221.8
2025-05-13,WHEAT,2025-09,221.48
2025-05-14,WHEAT,2025-09,222.34
2025-05-15,WHEAT,2025-09,220.05
2025-05-16,WHEAT,2025-09,220.91
2025-05-19,WHEAT,2025-09,221.4
2025-05-20,WHEAT,2025-09,223.79
2025-05-21,WHEAT,2025-09,226.94
2025-05-22,WHEAT,2025-09,228.75
2025-05-23,WHEAT,2025-09,228.37
2025-05-26,WHEAT,2025-09,222.97
2025-05-27,WHEAT,2025-09,220.86
2025-05-28,WHEAT,2025-09,223.65
2025-05-29,WHEAT,2025-09,227.01
2025-05-30,WHEAT,2025-09,226.48
2025-06-02,WHEAT,2025-09,223.75
2025-06-03,WHEAT,2025-09,218.5
2025-06-04,WHEAT,2025-09,217.61
2025-06-05,WHEAT,2025-09,216.53
2025-06-06,WHEAT,2025-09,215.15
2025-06-09,WHEAT,2025-09,212.67
2025-06-10,WHEAT,2025-09,215.86
2025-06-11,WHEAT,2025-09,212.22
2025-06-12,WHEAT,2025-09,208.75
2025-06-13,WHEAT,2025-09,210.5
2025-06-16,WHEAT,2025-09,210.02
2025-06-17,WHEAT,2025-09,207.73
2025-06-18,WHEAT,2025-09,210.96
2025-06-19,WHEAT,2025-09,217.42
2025-06-20,WHEAT,2025-09,214.48
2025-06-23,WHEAT,2025-09,213.89
2025-06-24,WHEAT,2025-09,214.43
2025-06-25,WHEAT,2025-09,217.46
2025-06-26,WHEAT,2025-09,213.19
2025-06-27,WHEAT,2025-09,214.78
2025-06-30,WHEAT,2025-09,215.58
2025-01-02,CANOLA,2025-03,481.04
2025-01-03,CANOLA,2025-03,469.36
2025-01-06,CANOLA,2025-03,467.61
2025-01-07,CANOLA,2025-03,473.5
2025-01-08,CANOLA,2025-03,473.06
2025-01-09,CANOLA,2025-03,474.31
2025-01-10,CANOLA,2025-03,476.78
2025-01-13,CANOLA,2025-03,472.74
2025-01-14,CANOLA,2025-03,482.74
2025-01-15,CANOLA,2025-03,482.47
2025-01-16,CANOLA,2025-03,473.2
2025-01-17,CANOLA,2025-03,466.49
2025-01-20,CANOLA,2025-03,475.02
2025-01-21,CANOLA,2025-03,475.22
2025-01-22,CANOLA,2025-03,465.99
2025-01-23,CANOLA,2025-03,464.0
2025-01-24,CANOLA,2025-03,458.69
2025-01-27,CANOLA,2025-03,458.29
2025-01-28,CANOLA,2025-03,453.78
2025-01-29,CANOLA,2025-03,455.41
2025-01-30,CANOLA,2025-03,448.01
2025-01-31,CANOLA,2025-03,454.19
2025-02-03,CANOLA,2025-03,454.69
2025-02-04,CANOLA,2025-03,455.97
2025-02-05,CANOLA,2025-03,453.43
2025-02-06,CANOLA,2025-03,456.41
2025-02-07,CANOLA,2025-03,449.75
2025-02-10,CANOLA,2025-03,442.66
2025-02-11,CANOLA,2025-03,439.35
2025-02-12,CANOLA,2025-03,438.84
2025-02-13,CANOLA,2025-03,432.55
2025-02-14,CANOLA,2025-03,437.12
2025-02-17,CANOLA,2025-03,437.92
2025-02-18,CANOLA,2025-03,438.44
2025-02-19,CANOLA,2025-03,428.77
2025-02-20,CANOLA,2025-03,432.52
2025-02-21,CANOLA,2025-03,430.69
2025-02-24,CANOLA,2025-03,432.15
2025-02-25,CANOLA,2025-03,428.03
2025-02-26,CANOLA,2025-03,417.34
2025-02-27,CANOLA,2025-03,423.53
2025-02-28,CANOLA,2025-03,431.43
2025-03-03,CANOLA,2025-03,417.4
2025-03-04,CANOLA,2025-03,420.41
2025-03-05,CANOLA,2025-03,426.74
2025-03-06,CANOLA,2025-03,423.33
2025-03-07,CANOLA,2025-03,424.45
2025-03-10,CANOLA,2025-03,417.74
2025-03-11,CANOLA,2025-03,424.21
2025-03-12,CANOLA,2025-03,416.29
2025-03-13,CANOLA,2025-03,405.46
2025-03-14,CANOLA,2025-03,411.64
2025-03-17,CANOLA,2025-03,406.32
2025-03-18,CANOLA,2025-03,404.78
2025-03-19,CANOLA,2025-03,402.45
2025-03-20,CANOLA,2025-03,392.77
2025-03-21,CANOLA,2025-03,397.82
2025-03-24,CANOLA,2025-03,389.43
2025-03-25,CANOLA,2025-03,392.51
2025-03-26,CANOLA,2025-03,400.26
2025-03-27,CANOLA,2025-03,399.52
2025-03-28,CANOLA,2025-03,397.92
2025-03-31,CANOLA,2025-03,401.15
2025-04-01,CANOLA,2025-03,398.26
2025-04-02,CANOLA,2025-03,399.49
2025-04-03,CANOLA,2025-03,403.5
2025-04-04,CANOLA,2025-03,407.81
2025-04-07,CANOLA,2025-03,402.77
2025-04-08,CANOLA,2025-03,401.2
2025-04-09,CANOLA,2025-03,403.23
2025-04-10,CANOLA,2025-03,407.29
2025-04-11,CANOLA,2025-03,411.41
2025-04-14,CANOLA,2025-03,405.18
2025-04-15,CANOLA,2025-03,406.58
2025-04-16,CANOLA,2025-03,406.13
2025-04-17,CANOLA,2025-03,407.42
2025-04-18,CANOLA,2025-03,406.08
2025-04-21,CANOLA,2025-03,410.8
2025-04-22,CANOLA,2025-03,406.01
2025-04-23,CANOLA,2025-03,403.63
2025-04-24,CANOLA,2025-03,419.15
2025-04-25,CANOLA,2025-03,409.1
2025-04-28,CANOLA,2025-03,410.77
2025-04-29,CANOLA,2025-03,410.08
2025-04-30,CANOLA,2025-03,410.29
2025-05-01,CANOLA,2025-03,413.75
2025-05-02,CANOLA,2025-03,412.63
2025-05-05,CANOLA,2025-03,417.4
2025-05-06,CANOLA,2025-03,418.04
2025-05-07,CANOLA,2025-03,422.56
2025-05-08,CANOLA,2025-03,417.66
2025-05-09,CANOLA,2025-03,422.52
2025-05-12,CANOLA,2025-03,426.52
2025-05-13,CANOLA,2025-03,431.96
2025-05-14,CANOLA,2025-03,419.47
2025-05-15,CANOLA,2025-03,418.94
2025-05-16,CANOLA,2025-03,416.53
2025-05-19,CANOLA,2025-03,417.41
2025-05-20,CANOLA,2025-03,418.83
2025-05-21,CANOLA,2025-03,421.94
2025-05-22,CANOLA,2025-03,415.26
2025-05-23,CANOLA,2025-03,421.1
2025-05-26,CANOLA,2025-03,418.58
2025-05-27,CANOLA,2025-03,422.7
2025-05-28,CANOLA,2025-03,412.98
2025-05-29,CANOLA,2025-03,423.72
2025-05-30,CANOLA,2025-03,407.01
2025-06-02,CANOLA,2025-03,410.64
2025-06-03,CANOLA,2025-03,401.92
2025-06-04,CANOLA,2025-03,409.24
2025-06-05,CANOLA,2025-03,407.42
2025-06-06,CANOLA,2025-03,409.75
2025-06-09,CANOLA,2025-03,405.18
2025-06-10,CANOLA,2025-03,406.34
2025-06-11,CANOLA,2025-03,401.33
2025-06-12,CANOLA,2025-03,412.12
2025-06-13,CANOLA,2025-03,412.55
2025-06-16,CANOLA,2025-03,409.43
2025-06-17,CANOLA,2025-03,402.54
2025-06-18,CANOLA,2025-03,400.27
2025-06-19,CANOLA,2025-03,405.65
2025-06-20,CANOLA,2025-03,400.56
