date,commodity_id,commodity_name,metric,value,threshold,severity,explanation
2025-03-28,BARLEY,Feed Barley,Large net open exposure,-7252671.69,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-03-31,BARLEY,Feed Barley,Hedge ratio above target,9.36,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-03-31,BARLEY,Feed Barley,Large net open exposure,-4773026.16,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-04-01,BARLEY,Feed Barley,Hedge ratio above target,2.67,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-04-02,BARLEY,Feed Barley,Hedge ratio above target,1.36,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-04-03,BARLEY,Feed Barley,Hedge ratio below target,0.49,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-04,BARLEY,Feed Barley,Hedge ratio below target,0.37,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-07,BARLEY,Feed Barley,Hedge ratio below target,0.37,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-08,BARLEY,Feed Barley,Hedge ratio below target,0.37,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-09,BARLEY,Feed Barley,Hedge ratio below target,0.37,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-10,BARLEY,Feed Barley,Hedge ratio below target,0.37,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-11,BARLEY,Feed Barley,Hedge ratio below target,0.51,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-14,BARLEY,Feed Barley,Hedge ratio below target,0.26,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-14,BARLEY,Feed Barley,Large net open exposure,1976941.74,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-04-15,BARLEY,Feed Barley,Hedge ratio below target,0.26,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-15,BARLEY,Feed Barley,Large net open exposure,1956843.01,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-04-16,BARLEY,Feed Barley,Hedge ratio below target,0.09,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-16,BARLEY,Feed Barley,Large net open exposure,3399024.64,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-04-17,BARLEY,Feed Barley,Hedge ratio below target,0.09,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-17,BARLEY,Feed Barley,Large net open exposure,3336184.28,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-04-18,BARLEY,Feed Barley,Hedge ratio below target,0.09,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-18,BARLEY,Feed Barley,Large net open exposure,3354001.9,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-04-21,BARLEY,Feed Barley,Hedge ratio below target,0.39,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-22,BARLEY,Feed Barley,Hedge ratio below target,0.44,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-23,BARLEY,Feed Barley,Hedge ratio below target,0.44,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-24,BARLEY,Feed Barley,Hedge ratio below target,0.44,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-25,BARLEY,Feed Barley,Hedge ratio below target,0.44,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-28,BARLEY,Feed Barley,Hedge ratio below target,0.53,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-29,BARLEY,Feed Barley,Hedge ratio below target,0.53,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-04-30,BARLEY,Feed Barley,Hedge ratio below target,0.65,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-01,BARLEY,Feed Barley,Hedge ratio below target,0.56,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-02,BARLEY,Feed Barley,Hedge ratio below target,0.56,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-05,BARLEY,Feed Barley,Hedge ratio below target,0.14,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-05,BARLEY,Feed Barley,Large net open exposure,2582336.28,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-05-06,BARLEY,Feed Barley,Hedge ratio below target,0.39,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-07,BARLEY,Feed Barley,Hedge ratio below target,0.39,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-08,BARLEY,Feed Barley,Hedge ratio below target,0.39,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-09,BARLEY,Feed Barley,Hedge ratio below target,0.39,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-12,BARLEY,Feed Barley,Hedge ratio below target,0.28,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-05-13,BARLEY,Feed Barley,Large net open exposure,3262597.39,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-05-14,BARLEY,Feed Barley,Hedge ratio above target,4.7,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-15,BARLEY,Feed Barley,Hedge ratio above target,4.7,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-16,BARLEY,Feed Barley,Hedge ratio above target,4.7,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-19,BARLEY,Feed Barley,Hedge ratio above target,4.7,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-20,BARLEY,Feed Barley,Hedge ratio above target,1.86,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-21,BARLEY,Feed Barley,Hedge ratio above target,4.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-21,BARLEY,Feed Barley,Large net open exposure,-1803476.05,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-05-22,BARLEY,Feed Barley,Hedge ratio above target,7.1,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-22,BARLEY,Feed Barley,Large net open exposure,-2928011.66,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-05-23,BARLEY,Feed Barley,Hedge ratio above target,2.35,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-23,BARLEY,Feed Barley,Large net open exposure,-2786890.74,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-05-23,BARLEY,Feed Barley,High margin requirement,1000783.85,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-05-27,BARLEY,Feed Barley,Hedge ratio above target,2.47,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-05-27,BARLEY,Feed Barley,Large net open exposure,2048402.65,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-05-27,BARLEY,Feed Barley,High margin requirement,1164951.1,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-05-28,BARLEY,Feed Barley,High margin requirement,1204546.92,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-05-29,BARLEY,Feed Barley,High margin requirement,1193428.63,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-05-30,BARLEY,Feed Barley,High margin requirement,1283406.52,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-02,BARLEY,Feed Barley,Hedge ratio above target,1.28,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-02,BARLEY,Feed Barley,High margin requirement,1020164.93,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-03,BARLEY,Feed Barley,Hedge ratio above target,1.28,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-03,BARLEY,Feed Barley,High margin requirement,1044126.22,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-04,BARLEY,Feed Barley,Hedge ratio above target,1.28,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-04,BARLEY,Feed Barley,High margin requirement,1014920.6,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-05,BARLEY,Feed Barley,Hedge ratio above target,1.28,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-06,BARLEY,Feed Barley,Hedge ratio above target,1.58,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-06,BARLEY,Feed Barley,Large net open exposure,-1865462.57,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-06,BARLEY,Feed Barley,High margin requirement,1021960.54,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-09,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-09,BARLEY,Feed Barley,Large net open exposure,-3437288.99,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-09,BARLEY,Feed Barley,High margin requirement,1045816.55,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-10,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-10,BARLEY,Feed Barley,Large net open exposure,-3455071.36,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-10,BARLEY,Feed Barley,High margin requirement,1002940.34,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-11,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-11,BARLEY,Feed Barley,Large net open exposure,-3399821.29,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-11,BARLEY,Feed Barley,High margin requirement,1069454.04,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-12,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-12,BARLEY,Feed Barley,Large net open exposure,-3435993.19,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-12,BARLEY,Feed Barley,High margin requirement,1031499.14,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-13,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-13,BARLEY,Feed Barley,Large net open exposure,-3426536.96,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-13,BARLEY,Feed Barley,High margin requirement,1006018.53,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-16,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-16,BARLEY,Feed Barley,Large net open exposure,-3420190.9,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-16,BARLEY,Feed Barley,High margin requirement,1007595.63,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-17,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-17,BARLEY,Feed Barley,Large net open exposure,-3449466.94,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-17,BARLEY,Feed Barley,High margin requirement,1003035.35,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-18,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-18,BARLEY,Feed Barley,Large net open exposure,-3479934.29,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-19,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-19,BARLEY,Feed Barley,Large net open exposure,-3526292.11,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-20,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-20,BARLEY,Feed Barley,Large net open exposure,-3498195.32,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-20,BARLEY,Feed Barley,High margin requirement,1006389.06,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-23,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-23,BARLEY,Feed Barley,Large net open exposure,-3518427.5,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-24,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-24,BARLEY,Feed Barley,Large net open exposure,-3525906.01,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-24,BARLEY,Feed Barley,High margin requirement,1011034.85,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-25,BARLEY,Feed Barley,Hedge ratio above target,40.08,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-25,BARLEY,Feed Barley,Large net open exposure,-3533981.62,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-26,BARLEY,Feed Barley,Hedge ratio above target,2.2,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-26,BARLEY,Feed Barley,Large net open exposure,-2427412.13,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-26,BARLEY,Feed Barley,High margin requirement,1036114.88,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-27,BARLEY,Feed Barley,Hedge ratio above target,2.2,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-27,BARLEY,Feed Barley,Large net open exposure,-2441992.79,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-27,BARLEY,Feed Barley,High margin requirement,1031664.13,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-06-30,BARLEY,Feed Barley,Hedge ratio above target,2.2,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-06-30,BARLEY,Feed Barley,Large net open exposure,-2454775.0,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-06-30,BARLEY,Feed Barley,High margin requirement,1011726.69,"<= 1,000,000",Medium,Collateral requirement is elevated.
2025-01-08,CANOLA,Canola,Hedge ratio below target,0.11,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-09,CANOLA,Canola,Hedge ratio below target,0.04,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-09,CANOLA,Canola,Large net open exposure,2525097.32,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-10,CANOLA,Canola,Hedge ratio below target,0.13,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-10,CANOLA,Canola,Large net open exposure,2204548.08,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-13,CANOLA,Canola,Hedge ratio below target,0.07,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-13,CANOLA,Canola,Large net open exposure,4575422.15,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-14,CANOLA,Canola,Hedge ratio below target,0.07,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-14,CANOLA,Canola,Large net open exposure,4608899.59,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-15,CANOLA,Canola,Hedge ratio below target,0.07,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-15,CANOLA,Canola,Large net open exposure,4622451.95,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-16,CANOLA,Canola,Hedge ratio below target,0.1,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-16,CANOLA,Canola,Large net open exposure,2968865.76,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-17,CANOLA,Canola,Hedge ratio below target,0.1,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-17,CANOLA,Canola,Large net open exposure,2938436.71,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-20,CANOLA,Canola,Hedge ratio below target,0.1,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-20,CANOLA,Canola,Large net open exposure,2972032.06,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-21,CANOLA,Canola,Hedge ratio below target,0.1,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-21,CANOLA,Canola,Large net open exposure,2971012.04,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-22,CANOLA,Canola,Hedge ratio below target,0.15,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-22,CANOLA,Canola,Large net open exposure,3317037.59,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-23,CANOLA,Canola,Hedge ratio below target,0.23,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-23,CANOLA,Canola,Large net open exposure,2815905.61,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-24,CANOLA,Canola,Hedge ratio below target,0.37,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-24,CANOLA,Canola,Large net open exposure,1712004.3,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-27,CANOLA,Canola,Hedge ratio below target,0.37,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-01-27,CANOLA,Canola,Large net open exposure,1710519.18,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-29,CANOLA,Canola,Hedge ratio above target,4.21,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-01-29,CANOLA,Canola,Large net open exposure,-2084893.41,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-30,CANOLA,Canola,Hedge ratio above target,4.21,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-01-30,CANOLA,Canola,Large net open exposure,-2045901.87,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-01-31,CANOLA,Canola,Hedge ratio above target,4.21,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-01-31,CANOLA,Canola,Large net open exposure,-2074621.65,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-03,CANOLA,Canola,Hedge ratio above target,5.43,<= 1.25,Medium,Futures quantity is high relative to physical exposure.
2025-02-03,CANOLA,Canola,Large net open exposure,-2806631.47,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-06,CANOLA,Canola,Hedge ratio below target,0.66,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-07,CANOLA,Canola,Hedge ratio below target,0.66,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-10,CANOLA,Canola,Hedge ratio below target,0.66,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-11,CANOLA,Canola,Hedge ratio below target,0.46,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-11,CANOLA,Canola,Large net open exposure,1805260.84,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-12,CANOLA,Canola,Hedge ratio below target,0.46,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-12,CANOLA,Canola,Large net open exposure,1771631.51,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-13,CANOLA,Canola,Hedge ratio below target,0.33,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-13,CANOLA,Canola,Large net open exposure,3460162.59,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-14,CANOLA,Canola,Hedge ratio below target,0.33,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-14,CANOLA,Canola,Large net open exposure,3454493.72,"abs <= 1,500,000",High,Residual price exposure needs review.
2025-02-17,CANOLA,Canola,Hedge ratio below target,0.22,>= 0.75,Medium,Open physical exposure is under-hedged.
2025-02-17,CANOLA,Canola,Large net open exposure,6919229.15,"abs <= 1,500,000",High,Residual price exposure needs review.
