position_id,trade_date,contract_month,commodity_id,hedge_type,exchange,buy_sell,contracts,contract_size_mt,futures_price_usd_mt,broker,initial_margin_usd_per_contract,status
FUT0026,2025-02-07,2025-05,CORN,Basis hedge,CME,Buy,51,127.01,187.86,CIBC World Markets,1780.72,Closed
FUT0027,2025-03-11,2025-07,BARLEY,Forward sale hedge,ICE,Sell,27,100.0,231.26,BMO Capital Markets,1085.19,Open
FUT0028,2025-05-22,2025-09,BARLEY,Basis hedge,ICE,Sell,34,100.0,251.72,RBC Clearing,992.04,Open
FUT0029,2025-03-21,2025-03,SOY,Forward sale hedge,CME,Buy,22,136.08,360.06,RBC Clearing,2406.47,Closed
FUT0030,2025-01-24,2025-07,CORN,Forward sale hedge,CME,Buy,24,127.01,186.64,TD Securities,1802.24,Open
FUT0031,2025-01-02,2025-09,CORN,Inventory hedge,CME,Buy,37,127.01,191.65,RBC Clearing,1750.37,Open
FUT0032,2025-03-07,2025-05,CORN,Forward sale hedge,CME,Sell,3,127.01,195.45,BMO Capital Markets,1708.47,Closed
FUT0033,2025-01-08,2025-09,CANOLA,Inventory hedge,ICE,Sell,18,20.0,492.15,TD Securities,1266.8,Open
FUT0034,2025-04-28,2025-07,BARLEY,Forward sale hedge,ICE,Sell,50,100.0,227.45,RBC Clearing,980.88,Open
FUT0035,2025-03-04,2025-07,BARLEY,Inventory hedge,ICE,Buy,16,100.0,237.69,TD Securities,1086.78,Open
FUT0036,2025-05-29,2025-07,CORN,Inventory hedge,CME,Sell,72,127.01,213.8,RBC Clearing,1672.47,Open
FUT0037,2025-04-23,2025-05,SOY,Inventory hedge,CME,Buy,20,136.08,352.7,RBC Clearing,2055.6,Closed
FUT0038,2025-04-22,2025-07,SOY,Inventory hedge,CME,Buy,47,136.08,365.58,CIBC World Markets,2431.52,Open
FUT0039,2025-04-07,2025-07,SOY,Inventory hedge,CME,Sell,63,136.08,378.59,CIBC World Markets,2176.38,Open
FUT0040,2025-04-21,2025-09,WHEAT,Inventory hedge,CME,Sell,11,136.08,227.32,BMO Capital Markets,2032.0,Open
FUT0041,2025-04-14,2025-07,SOY,Inventory hedge,CME,Buy,64,136.08,371.54,BMO Capital Markets,2256.48,Open
FUT0042,2025-05-16,2025-07,CANOLA,Forward sale hedge,ICE,Sell,19,20.0,429.32,TD Securities,1349.94,Open
FUT0043,2025-03-20,2025-03,CANOLA,Inventory hedge,ICE,Sell,35,20.0,392.77,RBC Clearing,1313.41,Closed
FUT0044,2025-03-14,2025-05,SOY,Forward sale hedge,CME,Sell,2,136.08,361.58,RBC Clearing,2267.74,Closed
FUT0045,2025-01-03,2025-05,WHEAT,Inventory hedge,CME,Sell,17,136.08,218.65,RBC Clearing,2143.11,Closed
FUT0046,2025-02-19,2025-05,CANOLA,Basis hedge,ICE,Buy,48,20.0,440.14,RBC Clearing,1341.62,Closed
FUT0047,2025-02-07,2025-05,CORN,Inventory hedge,CME,Sell,23,127.01,187.86,BMO Capital Markets,1780.72,Closed
FUT0048,2025-05-23,2025-09,BARLEY,Forward sale hedge,ICE,Buy,17,100.0,255.07,TD Securities,1085.39,Open
FUT0049,2025-02-03,2025-03,WHEAT,Forward sale hedge,CME,Sell,4,136.08,216.03,CIBC World Markets,2077.24,Closed
FUT0050,2025-03-06,2025-05,CANOLA,Basis hedge,ICE,Buy,69,20.0,428.19,TD Securities,1384.17,Closed
FUT0051,2025-05-20,2025-05,BARLEY,Forward sale hedge,ICE,Sell,32,100.0,241.28,TD Securities,1188.34,Closed
FUT0052,2025-04-15,2025-07,CANOLA,Inventory hedge,ICE,Sell,8,20.0,419.09,RBC Clearing,1332.05,Open
FUT0053,2025-02-24,2025-09,SOY,Inventory hedge,CME,Buy,28,136.08,385.04,TD Securities,2399.15,Open
FUT0054,2025-04-22,2025-09,WHEAT,Basis hedge,CME,Sell,61,136.08,224.47,BMO Capital Markets,2173.76,Open
FUT0055,2025-04-16,2025-05,WHEAT,Basis hedge,CME,Sell,47,136.08,224.6,TD Securities,2109.63,Closed
FUT0056,2025-05-12,2025-05,CORN,Basis hedge,CME,Buy,31,127.01,207.15,CIBC World Markets,1844.14,Closed
FUT0057,2025-02-10,2025-03,WHEAT,Forward sale hedge,CME,Sell,59,136.08,212.37,BMO Capital Markets,2092.99,Closed
FUT0058,2025-02-19,2025-03,WHEAT,Basis hedge,CME,Buy,9,136.08,211.34,BMO Capital Markets,1983.18,Closed
FUT0059,2025-03-17,2025-03,CANOLA,Inventory hedge,ICE,Buy,40,20.0,406.32,RBC Clearing,1353.49,Closed
FUT0060,2025-01-20,2025-05,CORN,Inventory hedge,CME,Sell,38,127.01,184.82,BMO Capital Markets,1814.71,Closed
FUT0061,2025-02-21,2025-05,CANOLA,Inventory hedge,ICE,Sell,44,20.0,436.49,BMO Capital Markets,1423.9,Closed
FUT0062,2025-01-08,2025-03,SOY,Basis hedge,CME,Buy,46,136.08,382.1,TD Securities,2391.94,Closed
FUT0063,2025-01-22,2025-09,CANOLA,Inventory hedge,ICE,Sell,30,20.0,485.2,BMO Capital Markets,1300.58,Open
FUT0064,2025-01-06,2025-03,CANOLA,Forward sale hedge,ICE,Buy,8,20.0,467.61,CIBC World Markets,1390.66,Closed
FUT0065,2025-01-08,2025-09,CORN,Basis hedge,CME,Sell,63,127.01,196.73,TD Securities,1751.88,Open
FUT0066,2025-04-24,2025-07,SOY,Basis hedge,CME,Sell,65,136.08,365.22,BMO Capital Markets,2385.99,Open
FUT0067,2025-02-25,2025-03,WHEAT,Inventory hedge,CME,Buy,10,136.08,211.45,RBC Clearing,2295.37,Closed
FUT0068,2025-03-21,2025-05,CORN,Basis hedge,CME,Sell,72,127.01,205.7,RBC Clearing,1901.41,Closed
FUT0069,2025-02-12,2025-07,SOY,Basis hedge,CME,Buy,4,136.08,379.73,CIBC World Markets,2372.96,Open
FUT0070,2025-04-08,2025-05,CORN,Inventory hedge,CME,Sell,50,127.01,208.85,BMO Capital Markets,1737.67,Closed
FUT0071,2025-04-21,2025-07,BARLEY,Basis hedge,ICE,Sell,52,100.0,231.98,CIBC World Markets,1001.93,Open
FUT0072,2025-05-09,2025-09,WHEAT,Basis hedge,CME,Sell,39,136.08,221.72,TD Securities,2000.76,Open
FUT0073,2025-03-05,2025-09,BARLEY,Inventory hedge,ICE,Sell,25,100.0,239.67,CIBC World Markets,1086.46,Open
FUT0074,2025-02-06,2025-05,CANOLA,Forward sale hedge,ICE,Buy,13,20.0,462.01,RBC Clearing,1409.19,Closed
FUT0075,2025-01-30,2025-07,BARLEY,Inventory hedge,ICE,Buy,61,100.0,234.94,RBC Clearing,1094.57,Open
FUT0076,2025-04-11,2025-07,BARLEY,Basis hedge,ICE,Sell,9,100.0,237.53,CIBC World Markets,1091.59,Open
FUT0077,2025-05-29,2025-07,WHEAT,Inventory hedge,CME,Buy,71,136.08,223.63,TD Securities,1932.21,Open
FUT0078,2025-05-27,2025-09,CORN,Basis hedge,CME,Sell,7,127.01,210.98,RBC Clearing,1833.98,Open
FUT0079,2025-01-29,2025-05,CORN,Basis hedge,CME,Sell,24,127.01,185.96,RBC Clearing,1745.85,Closed
FUT0080,2025-02-06,2025-07,CANOLA,Basis hedge,ICE,Buy,43,20.0,460.96,RBC Clearing,1409.19,Open
FUT0081,2025-02-07,2025-07,CORN,Forward sale hedge,CME,Buy,19,127.01,190.63,RBC Clearing,1780.72,Open
FUT0082,2025-04-10,2025-05,CORN,Basis hedge,CME,Sell,60,127.01,212.24,RBC Clearing,1805.38,Closed
FUT0083,2025-05-09,2025-05,WHEAT,Forward sale hedge,CME,Sell,44,136.08,216.14,TD Securities,2000.76,Closed
FUT0084,2025-04-01,2025-07,CORN,Inventory hedge,CME,Sell,26,127.01,206.14,TD Securities,1751.04,Open
FUT0085,2025-03-04,2025-03,WHEAT,Inventory hedge,CME,Buy,55,136.08,212.03,CIBC World Markets,2142.83,Closed
FUT0086,2025-02-03,2025-09,CANOLA,Inventory hedge,ICE,Sell,59,20.0,471.57,RBC Clearing,1414.6,Open
FUT0087,2025-04-30,2025-09,CANOLA,Basis hedge,ICE,Sell,74,20.0,425.37,TD Securities,1319.74,Open
FUT0088,2025-05-30,2025-07,CANOLA,Basis hedge,ICE,Sell,45,20.0,419.22,TD Securities,1281.26,Open
FUT0089,2025-02-18,2025-09,CORN,Basis hedge,CME,Sell,17,127.01,190.98,BMO Capital Markets,1880.47,Open
FUT0090,2025-05-15,2025-07,WHEAT,Forward sale hedge,CME,Sell,57,136.08,217.83,CIBC World Markets,2127.74,Open
FUT0091,2025-04-22,2025-09,BARLEY,Basis hedge,ICE,Sell,5,100.0,235.35,BMO Capital Markets,1034.87,Open
FUT0092,2025-05-26,2025-05,CORN,Inventory hedge,CME,Sell,3,127.01,206.74,BMO Capital Markets,1875.24,Closed
FUT0093,2025-03-26,2025-03,CORN,Forward sale hedge,CME,Sell,63,127.01,205.27,TD Securities,1766.61,Closed
FUT0094,2025-01-14,2025-07,CORN,Inventory hedge,CME,Sell,70,127.01,194.93,BMO Capital Markets,1730.81,Open
FUT0095,2025-04-16,2025-05,WHEAT,Inventory hedge,CME,Buy,27,136.08,224.6,CIBC World Markets,2109.63,Closed
FUT0096,2025-04-02,2025-09,CANOLA,Basis hedge,ICE,Sell,51,20.0,415.86,RBC Clearing,1366.5,Open
FUT0097,2025-04-01,2025-09,SOY,Forward sale hedge,CME,Sell,21,136.08,370.67,RBC Clearing,2556.9,Open
FUT0098,2025-01-24,2025-03,CANOLA,Forward sale hedge,ICE,Sell,30,20.0,458.69,BMO Capital Markets,1402.41,Closed
FUT0099,2025-01-29,2025-09,CANOLA,Inventory hedge,ICE,Sell,72,20.0,468.7,TD Securities,1344.19,Open
FUT0100,2025-02-03,2025-03,CORN,Basis hedge,CME,Sell,72,127.01,184.26,TD Securities,1815.5,Closed
FUT0101,2025-04-01,2025-05,WHEAT,Inventory hedge,CME,Sell,31,136.08,221.87,CIBC World Markets,2194.5,Closed
FUT0102,2025-03-04,2025-05,CORN,Forward sale hedge,CME,Sell,57,127.01,192.54,RBC Clearing,1824.67,Closed
FUT0103,2025-05-13,2025-05,CANOLA,Inventory hedge,ICE,Sell,30,20.0,432.32,CIBC World Markets,1379.37,Closed
FUT0104,2025-02-17,2025-09,BARLEY,Inventory hedge,ICE,Sell,46,100.0,235.88,TD Securities,1034.63,Open
FUT0105,2025-03-17,2025-07,WHEAT,Forward sale hedge,CME,Sell,60,136.08,218.57,RBC Clearing,2180.89,Open
FUT0106,2025-01-06,2025-05,WHEAT,Inventory hedge,CME,Buy,53,136.08,219.24,TD Securities,2064.82,Closed
FUT0107,2025-04-02,2025-09,BARLEY,Basis hedge,ICE,Buy,23,100.0,236.35,RBC Clearing,1042.17,Open
FUT0108,2025-04-17,2025-09,SOY,Forward sale hedge,CME,Buy,16,136.08,373.48,BMO Capital Markets,2390.49,Open
FUT0109,2025-01-20,2025-03,CORN,Inventory hedge,CME,Buy,71,127.01,181.54,CIBC World Markets,1814.71,Closed
FUT0110,2025-01-28,2025-03,WHEAT,Basis hedge,CME,Sell,14,136.08,214.67,BMO Capital Markets,2169.25,Closed
FUT0111,2025-02-21,2025-09,CANOLA,Forward sale hedge,ICE,Buy,68,20.0,451.4,RBC Clearing,1423.9,Open
FUT0112,2025-05-05,2025-07,BARLEY,Forward sale hedge,ICE,Buy,64,100.0,238.97,TD Securities,1016.34,Open
FUT0113,2025-03-18,2025-07,CANOLA,Forward sale hedge,ICE,Sell,59,20.0,419.81,CIBC World Markets,1380.9,Open
FUT0114,2025-02-11,2025-07,SOY,Basis hedge,CME,Buy,16,136.08,380.3,CIBC World Markets,2385.61,Open
FUT0115,2025-04-23,2025-07,CORN,Inventory hedge,CME,Sell,22,127.01,211.67,RBC Clearing,1757.18,Open
FUT0116,2025-02-21,2025-05,SOY,Basis hedge,CME,Sell,20,136.08,370.54,BMO Capital Markets,2289.2,Closed
FUT0117,2025-05-27,2025-07,BARLEY,Forward sale hedge,ICE,Buy,65,100.0,250.22,CIBC World Markets,1088.18,Open
FUT0118,2025-02-13,2025-03,WHEAT,Basis hedge,CME,Sell,47,136.08,213.34,TD Securities,1995.23,Closed
FUT0119,2025-05-26,2025-05,BARLEY,Forward sale hedge,ICE,Buy,45,100.0,246.22,TD Securities,1011.78,Closed
FUT0120,2025-05-21,2025-05,SOY,Inventory hedge,CME,Buy,24,136.08,350.73,TD Securities,2353.04,Closed
