date,commodity_id,commodity_name,contract_month,avg_cash_price_cad_mt,futures_price_cad_mt,usd_cad,basis_cad_mt,physical_quantity_mt,futures_quantity_mt,net_open_quantity_mt,physical_exposure_cad,futures_exposure_cad,net_open_exposure_cad,hedge_ratio,daily_pnl_cad,cumulative_pnl_cad,basis_risk_cad,margin_requirement_cad,var_95_cad,var_99_cad,stress_down_5pct_cad,stress_up_5pct_cad,physical_transaction_count,futures_position_count
2025-02-25,BARLEY,Feed Barley,2025-03,242.9,314.4,1.36,-71.51,-11530.0,-10300.0,-21830.0,-2800613.94,-3238369.44,-6038983.38,0.89,-2569.02,-282350.84,23557.9,309574.08,63333.29,89434.28,273943.03,-273943.03,11.0,5.0
2025-02-26,BARLEY,Feed Barley,2025-03,241.14,316.98,1.36,-75.84,-16037.0,-10300.0,-26337.0,-3867098.03,-3264844.56,-7131942.59,0.64,-6159.26,-288510.1,30836.82,325623.78,62759.75,88624.38,317926.15,-317926.15,10.0,5.0
2025-02-27,BARLEY,Feed Barley,2025-03,239.3,317.54,1.37,-78.23,-13561.0,-10300.0,-23861.0,-3245201.54,-3270647.58,-6515849.12,0.76,23576.76,-264933.34,26733.79,339552.79,63477.41,89637.8,293340.44,-293340.44,11.0,5.0
2025-02-28,BARLEY,Feed Barley,2025-03,235.76,313.0,1.37,-77.24,-13561.0,-10300.0,-23861.0,-3197168.48,-3223940.17,-6421108.65,0.76,94740.47,-170192.86,27241.61,337114.53,74510.65,105218.07,289083.75,-289083.75,11.0,5.0
2025-03-03,BARLEY,Feed Barley,2025-03,235.35,315.47,1.37,-80.12,-14283.0,-10300.0,-24583.0,-3361504.05,-3249339.97,-6610844.02,0.72,-19812.67,-190005.53,32641.33,321914.72,74684.34,105463.34,296927.16,-296927.16,10.0,5.0
2025-03-04,BARLEY,Feed Barley,2025-03,238.86,316.94,1.37,-78.08,-14283.0,-8700.0,-22983.0,-3411637.38,-2757341.46,-6168978.84,0.61,-65232.1,-255237.63,32530.47,358822.15,77783.98,109840.41,274332.57,-274332.57,10.0,6.0
2025-03-05,BARLEY,Feed Barley,2025-03,238.6,316.68,1.37,-78.08,-15803.0,-11200.0,-27003.0,-3770564.19,-3546765.6,-7317329.79,0.71,6006.76,-249230.88,35363.0,395927.75,77862.43,109951.19,328160.85,-328160.85,11.0,7.0
2025-03-06,BARLEY,Feed Barley,2025-03,239.06,315.92,1.37,-76.86,-11072.0,-11200.0,-22272.0,-2646916.61,-3538326.4,-6185243.01,1.01,1075.0,-248155.87,24489.56,381303.58,77904.88,110011.13,282792.98,-282792.98,12.0,7.0
2025-03-07,BARLEY,Feed Barley,2025-03,234.94,311.0,1.37,-76.07,-11072.0,-11200.0,-22272.0,-2601211.39,-3483241.44,-6084452.83,1.01,100790.18,-147365.7,24448.0,372032.73,87621.39,123732.02,278210.53,-278210.53,12.0,7.0
2025-03-10,BARLEY,Feed Barley,2025-03,236.77,311.18,1.37,-74.41,-11072.0,-11200.0,-22272.0,-2621495.3,-3485236.16,-6106731.46,1.01,-22278.62,-169644.32,24770.58,372918.27,87800.93,123985.56,279121.62,-279121.62,12.0,7.0
2025-03-11,BARLEY,Feed Barley,2025-03,232.51,309.65,1.37,-77.13,-11072.0,-13900.0,-24972.0,-2574395.01,-4304098.86,-6878493.87,1.26,64285.57,-105358.75,22850.6,435606.12,91137.75,128697.56,318180.74,-318180.74,12.0,8.0
2025-03-12,BARLEY,Feed Barley,2025-03,232.54,309.47,1.37,-76.93,-11072.0,-13900.0,-24972.0,-2574682.88,-4301623.27,-6876306.15,1.26,2187.72,-103171.04,22306.04,420770.0,90869.88,128319.29,318068.48,-318068.48,12.0,8.0
2025-03-13,BARLEY,Feed Barley,2025-03,235.29,314.05,1.37,-78.76,-11072.0,-13900.0,-24972.0,-2605130.88,-4365226.89,-6970357.77,1.26,-94051.62,-197222.66,22600.43,403842.54,93257.12,131690.36,322466.58,-322466.58,12.0,8.0
2025-03-14,BARLEY,Feed Barley,2025-03,237.89,315.88,1.37,-77.99,-8425.0,-13900.0,-22325.0,-2004189.55,-4390744.51,-6394934.06,1.65,-54260.53,-251483.19,17435.17,393076.73,95229.72,134475.91,299704.81,-299704.81,11.0,8.0
2025-03-17,BARLEY,Feed Barley,2025-03,238.6,314.06,1.37,-75.46,-5591.0,-13900.0,-19491.0,-1334001.42,-4365417.32,-5699418.74,2.49,19328.59,-232154.6,10973.92,435505.77,95297.18,134571.17,271630.92,-271630.92,9.0,8.0
2025-03-18,BARLEY,Feed Barley,2025-03,241.11,317.1,1.37,-75.99,-6883.0,-13900.0,-20783.0,-1659573.9,-4407692.78,-6067266.68,2.02,-56331.23,-288485.83,13431.9,412264.13,91778.55,129602.43,286767.59,-286767.59,9.0,8.0
2025-03-19,BARLEY,Feed Barley,2025-03,245.13,322.33,1.37,-77.21,-6883.0,-13900.0,-20783.0,-1687202.26,-4480437.04,-6167639.3,2.02,-100372.62,-388858.45,13473.47,427052.07,97547.95,137749.54,291509.94,-291509.94,9.0,8.0
2025-03-20,BARLEY,Feed Barley,2025-03,239.33,316.31,1.37,-76.98,-8070.0,-13900.0,-21970.0,-1931393.1,-4396647.84,-6328040.94,1.72,123683.07,-265175.39,15596.26,442381.92,108473.92,153178.32,297088.12,-297088.12,9.0,8.0
2025-03-21,BARLEY,Feed Barley,2025-03,244.98,322.72,1.37,-77.74,-8070.0,-13900.0,-21970.0,-1976956.32,-4485769.08,-6462725.4,1.72,-134684.46,-399859.85,15526.25,399414.99,111903.48,158021.28,303366.71,-303366.71,9.0,8.0
2025-03-24,BARLEY,Feed Barley,2025-03,240.47,317.66,1.37,-77.19,-8070.0,-13900.0,-21970.0,-1940609.04,-4415500.41,-6356109.45,1.72,106615.95,-293243.9,14413.58,420717.82,119260.01,168409.59,298399.38,-298399.38,9.0,8.0
2025-03-25,BARLEY,Feed Barley,2025-03,242.2,322.66,1.37,-80.46,-8070.0,-16500.0,-24570.0,-1954586.28,-5323929.6,-7278515.88,2.04,-83484.19,-376728.09,11760.14,455747.99,123118.48,173858.22,344379.93,-344379.93,9.0,9.0
2025-03-26,BARLEY,Feed Barley,2025-03,243.71,321.22,1.37,-77.52,-8070.0,-16500.0,-24570.0,-1966707.42,-5300194.35,-7266901.77,2.04,11614.11,-365113.98,11411.72,465852.13,123263.23,174062.63,343678.01,-343678.01,9.0,9.0
2025-03-27,BARLEY,Feed Barley,2025-03,240.74,322.84,1.37,-82.1,-8070.0,-16500.0,-24570.0,-1942755.66,-5326868.25,-7269623.91,2.04,-2722.14,-367836.12,14159.36,481624.54,122806.41,173417.54,344053.64,-344053.64,9.0,9.0
2025-03-28,BARLEY,Feed Barley,2025-03,240.26,322.05,1.37,-81.78,-8070.0,-16500.0,-24570.0,-1938914.34,-5313757.35,-7252671.69,2.04,16952.22,-350883.9,16000.98,434477.74,116954.74,165154.27,343244.44,-343244.44,9.0,9.0
2025-03-31,BARLEY,Feed Barley,2025-03,238.76,314.77,1.37,-76.01,1762.0,-16500.0,-14738.0,420698.64,-5193724.8,-4773026.16,9.36,132137.55,-218746.35,3430.64,469339.63,127875.11,180575.15,242858.29,-242858.29,7.0,9.0
2025-04-01,BARLEY,Feed Barley,2025-05,237.18,319.14,1.37,-81.97,1762.0,-4700.0,-2938.0,417904.11,-1499965.05,-1082060.94,2.67,-74904.48,-293650.83,3830.88,301067.53,128614.2,181618.84,58282.09,-58282.09,7.0,6.0
2025-04-02,BARLEY,Feed Barley,2025-05,234.86,314.63,1.37,-79.77,1762.0,-2400.0,-638.0,413826.84,-755122.08,-341295.24,1.36,17107.04,-276543.79,3906.11,319821.13,128777.34,181849.21,21203.03,-21203.03,7.0,7.0
2025-04-03,BARLEY,Feed Barley,2025-05,238.33,314.13,1.37,-75.8,4912.0,-2400.0,2512.0,1170657.31,-753905.52,416751.79,0.49,7320.13,-269223.66,11079.83,320453.3,128814.9,181902.26,-9131.02,9131.02,8.0,7.0
2025-04-04,BARLEY,Feed Barley,2025-05,240.13,320.48,1.37,-80.35,6470.0,-2400.0,4070.0,1553654.04,-769161.84,784492.2,0.37,-6385.25,-275608.91,14748.17,327615.88,122592.18,173115.02,-23688.07,23688.07,9.0,7.0
2025-04-07,BARLEY,Feed Barley,2025-05,242.13,325.8,1.37,-83.67,6470.0,-2400.0,4070.0,1566594.04,-781919.28,784674.76,0.37,182.56,-275426.35,15727.27,326667.62,122455.66,172922.23,-23567.8,23567.8,9.0,7.0
2025-04-08,BARLEY,Feed Barley,2025-05,246.01,324.69,1.37,-78.68,6470.0,-2400.0,4070.0,1591671.76,-779256.0,812415.76,0.37,27741.0,-247685.35,15580.95,329730.28,120202.06,169739.88,-24704.07,24704.07,9.0,7.0
2025-04-09,BARLEY,Feed Barley,2025-05,239.06,322.69,1.37,-83.63,6470.0,-2400.0,4070.0,1546692.32,-774455.52,772236.8,0.37,-40178.96,-287864.31,16940.1,329457.16,120747.28,170509.8,-23144.92,23144.92,9.0,7.0
2025-04-10,BARLEY,Feed Barley,2025-05,238.97,322.48,1.37,-83.52,6470.0,-2400.0,4070.0,1546110.02,-773962.32,772147.7,0.37,-89.1,-287953.41,18174.18,309568.27,116180.14,164060.44,-23146.28,23146.28,9.0,7.0
2025-04-11,BARLEY,Feed Barley,2025-05,239.52,320.65,1.36,-81.12,6470.0,-3300.0,3170.0,1549720.28,-1058135.76,491584.52,0.51,8019.3,-279934.11,18283.71,345903.04,114622.62,161861.03,-9082.02,9082.02,9.0,8.0
2025-04-14,BARLEY,Feed Barley,2025-05,240.5,322.76,1.36,-82.26,12649.0,-3300.0,9349.0,3042033.9,-1065092.16,1976941.74,0.26,-667.56,-280601.67,34676.01,348251.12,114340.98,161463.32,-68426.75,68426.75,8.0,8.0
2025-04-15,BARLEY,Feed Barley,2025-05,237.39,316.95,1.36,-79.56,12649.0,-3300.0,9349.0,3002771.41,-1045928.4,1956843.01,0.26,-20098.74,-300700.4,32893.38,335202.0,112662.34,159092.88,-67814.44,67814.44,8.0,8.0
2025-04-16,BARLEY,Feed Barley,2025-05,238.58,317.71,1.36,-79.13,12649.0,1200.0,13849.0,3017773.12,381251.52,3399024.64,0.09,12488.43,-288211.97,32022.65,373259.48,105830.3,149445.21,-139773.5,139773.5,8.0,9.0
2025-04-17,BARLEY,Feed Barley,2025-05,234.12,312.29,1.37,-78.17,12649.0,1200.0,13849.0,2961434.48,374749.8,3336184.28,0.09,-62840.37,-351052.33,31254.84,398067.25,97947.21,138313.33,-137194.87,137194.87,8.0,9.0
2025-04-18,BARLEY,Feed Barley,2025-05,235.38,313.94,1.36,-78.57,12649.0,1200.0,13849.0,2977271.02,376730.88,3354001.9,0.09,17817.63,-333234.71,30832.11,400072.91,84029.3,118659.55,-137927.38,137927.38,8.0,9.0
2025-04-21,BARLEY,Feed Barley,2025-05,228.2,311.51,1.36,-83.31,10190.0,-4000.0,6190.0,2325337.62,-1246032.0,1079305.62,0.39,-93715.8,-426950.51,24884.03,449666.18,81205.53,114672.05,-30711.9,30711.9,7.0,10.0
2025-04-22,BARLEY,Feed Barley,2025-05,234.73,315.09,1.37,-80.36,10190.0,-4500.0,5690.0,2391898.7,-1417888.35,974010.35,0.44,52247.88,-374702.63,24883.11,474953.59,78197.68,110424.6,-24781.53,24781.53,7.0,11.0
2025-04-23,BARLEY,Feed Barley,2025-05,231.73,311.85,1.37,-80.13,10190.0,-4500.0,5690.0,2361308.32,-1403338.95,957969.37,0.44,-16040.98,-390743.61,23944.94,454732.25,78279.9,110540.7,-24285.39,24285.39,7.0,11.0
2025-04-24,BARLEY,Feed Barley,2025-05,231.23,310.2,1.37,-78.97,10190.0,-4500.0,5690.0,2356233.7,-1395879.3,960354.4,0.44,2385.03,-388358.58,23860.17,493605.31,78289.11,110553.71,-24455.38,24455.38,7.0,11.0
2025-04-25,BARLEY,Feed Barley,2025-05,229.56,306.84,1.37,-77.28,10190.0,-4500.0,5690.0,2339175.64,-1380775.05,958400.59,0.44,-1953.81,-390312.39,24562.62,485096.38,77977.13,110113.16,-24528.27,24528.27,7.0,11.0
2025-04-28,BARLEY,Feed Barley,2025-05,226.69,307.14,1.36,-80.45,17832.0,-9500.0,8332.0,4042300.42,-2917852.8,1124447.62,0.53,-30590.67,-420903.06,39385.83,513588.77,58574.61,82714.45,-15799.38,15799.38,7.0,12.0
2025-04-29,BARLEY,Feed Barley,2025-05,231.0,307.01,1.36,-76.0,17832.0,-9500.0,8332.0,4119263.33,-2916560.8,1202702.53,0.53,78254.91,-342648.15,42320.91,557508.34,61482.57,86820.84,-18942.49,18942.49,7.0,12.0
2025-04-30,BARLEY,Feed Barley,2025-05,231.21,310.62,1.36,-79.42,14587.0,-9500.0,5087.0,3372601.92,-2950928.0,421673.92,0.65,-30765.14,-373413.28,34669.02,548539.07,61836.61,87320.79,12642.32,-12642.32,7.0,12.0
2025-05-01,BARLEY,Feed Barley,2025-05,235.53,312.13,1.36,-76.61,14587.0,-8200.0,6387.0,3435617.76,-2559495.52,876122.24,0.56,48674.64,-324738.64,33655.52,580084.36,64812.97,91523.77,-9449.93,9449.93,7.0,13.0
2025-05-02,BARLEY,Feed Barley,2025-05,237.34,315.07,1.36,-77.74,14587.0,-8200.0,6387.0,3462020.23,-2583583.84,878436.39,0.56,2314.15,-322424.49,34472.78,559445.36,64823.02,91537.97,-9301.62,9301.62,7.0,13.0
2025-05-05,BARLEY,Feed Barley,2025-05,242.63,322.43,1.36,-79.8,13035.0,-1800.0,11235.0,3162708.12,-580371.84,2582336.28,0.14,16920.43,-305504.06,28589.27,638586.75,65209.39,92083.56,-97489.73,97489.73,8.0,14.0
2025-05-06,BARLEY,Feed Barley,2025-05,239.43,322.06,1.36,-82.63,4598.0,-1800.0,2798.0,1100917.53,-579710.88,521206.65,0.39,-41024.97,-346529.03,10436.19,639391.0,65723.98,92810.22,-15051.16,15051.16,8.0,14.0
2025-05-07,BARLEY,Feed Barley,2025-05,239.61,321.76,1.36,-82.15,4598.0,-1800.0,2798.0,1101735.98,-579172.32,522563.66,0.39,1357.0,-345172.03,9950.84,645535.97,64304.39,90805.59,-15110.82,15110.82,8.0,14.0
2025-05-08,BARLEY,Feed Barley,2025-05,242.85,324.1,1.36,-81.25,4598.0,-1800.0,2798.0,1116624.3,-583382.88,533241.42,0.39,10677.76,-334494.26,9272.82,660232.37,64493.42,91072.52,-15495.83,15495.83,8.0,14.0
2025-05-09,BARLEY,Feed Barley,2025-05,245.39,331.01,1.36,-85.62,4598.0,-1800.0,2798.0,1128312.42,-595818.72,532493.7,0.39,-747.72,-335241.99,11006.3,663637.87,64372.89,90902.32,-15341.56,15341.56,8.0,14.0
2025-05-12,BARLEY,Feed Barley,2025-05,244.32,331.35,1.36,-87.03,6368.0,-1800.0,4568.0,1555842.5,-596430.72,959411.78,0.28,-5531.86,-340773.85,18030.32,654703.16,64375.19,90905.58,-32412.16,32412.16,7.0,14.0
2025-05-13,BARLEY,Feed Barley,2025-05,242.48,324.24,1.36,-81.75,6368.0,5300.0,11668.0,1544138.11,1718459.28,3262597.39,0.83,1098.66,-339675.19,18132.07,748235.63,64043.05,90436.55,-147688.49,147688.49,7.0,15.0
2025-05-14,BARLEY,Feed Barley,2025-05,242.23,322.4,1.36,-80.17,-1127.0,5300.0,4173.0,-272995.46,1708728.48,1435733.02,4.7,-11335.54,-351010.73,3193.97,750424.77,63876.49,90201.34,-74516.61,74516.61,7.0,15.0
2025-05-15,BARLEY,Feed Barley,2025-05,238.6,319.33,1.35,-80.73,-1127.0,5300.0,4173.0,-268904.45,1692443.7,1423539.25,4.7,-12193.77,-363204.5,3140.7,831310.51,59689.78,84289.21,-73866.01,73866.01,7.0,15.0
2025-05-16,BARLEY,Feed Barley,2025-05,239.93,322.08,1.35,-82.15,-1127.0,5300.0,4173.0,-270403.36,1707039.9,1436636.54,4.7,13097.29,-350107.21,3123.24,732235.67,59506.12,84029.85,-74535.86,74535.86,7.0,15.0
2025-05-19,BARLEY,Feed Barley,2025-05,243.51,320.84,1.35,-77.33,-1127.0,5300.0,4173.0,-274433.52,1700457.3,1426023.78,4.7,-10612.75,-360719.96,3149.44,738668.44,47636.84,67268.99,-74045.52,74045.52,7.0,15.0
2025-05-20,BARLEY,Feed Barley,2025-05,245.36,325.73,1.35,-80.37,-1127.0,2100.0,973.0,-276518.47,684028.8,407510.33,1.86,23816.15,-336903.81,3149.43,906406.34,44503.67,62844.57,-23140.7,23140.7,7.0,16.0
2025-05-21,BARLEY,Feed Barley,2025-05,249.2,331.01,1.35,-81.81,-1127.0,-4600.0,-5727.0,-280846.15,-1522629.9,-1803476.05,4.08,6757.17,-330146.64,3168.89,910944.58,43979.28,62104.07,87365.34,-87365.34,7.0,17.0
2025-05-22,BARLEY,Feed Barley,2025-05,250.33,330.74,1.35,-80.41,-1127.0,-8000.0,-9127.0,-282119.66,-2645892.0,-2928011.66,7.1,-31.51,-330178.15,3144.09,891943.16,43993.39,62124.0,143579.39,-143579.39,7.0,18.0
2025-05-23,BARLEY,Feed Barley,2025-05,252.76,334.64,1.35,-81.87,-2685.0,-6300.0,-8985.0,-678671.34,-2108219.4,-2786890.74,2.35,-33957.37,-364135.52,7237.19,1000783.85,46037.39,65010.37,132557.82,-132557.82,6.0,19.0
