date,commodity_id,exchange,initial_margin_usd_per_contract,maintenance_margin_usd_per_contract
2025-02-17,CANOLA,ICE,1392.45,1141.81
2025-02-18,CANOLA,ICE,1402.7,1150.22
2025-02-19,CANOLA,ICE,1341.62,1100.13
2025-02-20,CANOLA,ICE,1427.27,1170.36
2025-02-21,CANOLA,ICE,1423.9,1167.6
2025-02-24,CANOLA,ICE,1363.14,1117.78
2025-02-25,CANOLA,ICE,1305.62,1070.61
2025-02-26,CANOLA,ICE,1435.07,1176.76
2025-02-27,CANOLA,ICE,1346.71,1104.3
2025-02-28,CANOLA,ICE,1356.81,1112.59
2025-03-03,CANOLA,ICE,1331.66,1091.96
2025-03-04,CANOLA,ICE,1301.95,1067.6
2025-03-05,CANOLA,ICE,1270.69,1041.97
2025-03-06,CANOLA,ICE,1384.17,1135.02
2025-03-07,CANOLA,ICE,1307.7,1072.31
2025-03-10,CANOLA,ICE,1515.21,1242.48
2025-03-11,CANOLA,ICE,1291.35,1058.91
2025-03-12,CANOLA,ICE,1282.1,1051.32
2025-03-13,CANOLA,ICE,1377.55,1129.59
2025-03-14,CANOLA,ICE,1432.58,1174.72
2025-03-17,CANOLA,ICE,1353.49,1109.86
2025-03-18,CANOLA,ICE,1380.9,1132.34
2025-03-19,CANOLA,ICE,1250.45,1025.37
2025-03-20,CANOLA,ICE,1313.41,1077.0
2025-03-21,CANOLA,ICE,1292.02,1059.46
2025-03-24,CANOLA,ICE,1247.67,1023.09
2025-03-25,CANOLA,ICE,1356.32,1112.18
2025-03-26,CANOLA,ICE,1228.89,1007.69
2025-03-27,CANOLA,ICE,1278.6,1048.45
2025-03-28,CANOLA,ICE,1320.99,1083.21
2025-03-31,CANOLA,ICE,1305.11,1070.19
2025-04-01,CANOLA,ICE,1371.41,1124.55
2025-04-02,CANOLA,ICE,1366.5,1120.53
2025-04-03,CANOLA,ICE,1398.27,1146.58
2025-04-04,CANOLA,ICE,1390.63,1140.32
2025-04-07,CANOLA,ICE,1411.6,1157.52
2025-04-08,CANOLA,ICE,1349.9,1106.92
2025-04-09,CANOLA,ICE,1366.39,1120.44
2025-04-10,CANOLA,ICE,1377.62,1129.65
2025-04-11,CANOLA,ICE,1357.65,1113.27
2025-04-14,CANOLA,ICE,1328.55,1089.41
2025-04-15,CANOLA,ICE,1332.05,1092.28
2025-04-16,CANOLA,ICE,1305.85,1070.8
2025-04-17,CANOLA,ICE,1372.77,1125.67
2025-04-18,CANOLA,ICE,1344.92,1102.84
2025-04-21,CANOLA,ICE,1314.19,1077.63
2025-04-22,CANOLA,ICE,1314.24,1077.68
2025-04-23,CANOLA,ICE,1284.64,1053.4
2025-04-24,CANOLA,ICE,1402.86,1150.34
2025-04-25,CANOLA,ICE,1354.25,1110.48
2025-04-28,CANOLA,ICE,1303.41,1068.8
2025-04-29,CANOLA,ICE,1393.66,1142.8
2025-04-30,CANOLA,ICE,1319.74,1082.18
2025-05-01,CANOLA,ICE,1274.05,1044.72
2025-05-02,CANOLA,ICE,1405.15,1152.22
2025-05-05,CANOLA,ICE,1321.0,1083.22
2025-05-06,CANOLA,ICE,1327.92,1088.89
2025-05-07,CANOLA,ICE,1352.22,1108.82
2025-05-08,CANOLA,ICE,1411.7,1157.59
2025-05-09,CANOLA,ICE,1351.08,1107.89
2025-05-12,CANOLA,ICE,1285.25,1053.9
2025-05-13,CANOLA,ICE,1379.37,1131.08
2025-05-14,CANOLA,ICE,1323.81,1085.52
2025-05-15,CANOLA,ICE,1451.95,1190.6
2025-05-16,CANOLA,ICE,1349.94,1106.95
2025-05-19,CANOLA,ICE,1229.31,1008.03
2025-05-20,CANOLA,ICE,1369.3,1122.82
2025-05-21,CANOLA,ICE,1455.01,1193.11
2025-05-22,CANOLA,ICE,1435.1,1176.78
2025-05-23,CANOLA,ICE,1448.87,1188.07
2025-05-26,CANOLA,ICE,1294.93,1061.85
2025-05-27,CANOLA,ICE,1399.26,1147.39
2025-05-28,CANOLA,ICE,1311.01,1075.03
2025-05-29,CANOLA,ICE,1362.11,1116.93
2025-05-30,CANOLA,ICE,1281.26,1050.63
2025-06-02,CANOLA,ICE,1315.2,1078.46
2025-06-03,CANOLA,ICE,1313.48,1077.06
2025-06-04,CANOLA,ICE,1398.52,1146.79
2025-06-05,CANOLA,ICE,1393.24,1142.46
2025-06-06,CANOLA,ICE,1364.95,1119.26
2025-06-09,CANOLA,ICE,1277.08,1047.2
2025-06-10,CANOLA,ICE,1333.17,1093.2
2025-06-11,CANOLA,ICE,1309.71,1073.96
2025-06-12,CANOLA,ICE,1396.96,1145.51
2025-06-13,CANOLA,ICE,1413.62,1159.17
2025-06-16,CANOLA,ICE,1407.04,1153.78
2025-06-17,CANOLA,ICE,1309.22,1073.56
2025-06-18,CANOLA,ICE,1202.07,985.69
2025-06-19,CANOLA,ICE,1254.58,1028.76
2025-06-20,CANOLA,ICE,1426.77,1169.95
2025-06-23,CANOLA,ICE,1328.33,1089.23
2025-06-24,CANOLA,ICE,1309.46,1073.76
2025-06-25,CANOLA,ICE,1438.7,1179.74
2025-06-26,CANOLA,ICE,1418.32,1163.02
2025-06-27,CANOLA,ICE,1351.32,1108.08
2025-06-30,CANOLA,ICE,1334.16,1094.01
2025-01-02,CORN,CME,1750.37,1435.3
2025-01-03,CORN,CME,1830.15,1500.73
2025-01-06,CORN,CME,1828.6,1499.45
2025-01-07,CORN,CME,1940.41,1591.14
2025-01-08,CORN,CME,1751.88,1436.54
2025-01-09,CORN,CME,1865.15,1529.43
2025-01-10,CORN,CME,1883.7,1544.63
2025-01-13,CORN,CME,1850.73,1517.6
2025-01-14,CORN,CME,1730.81,1419.26
2025-01-15,CORN,CME,1901.36,1559.11
2025-01-16,CORN,CME,1888.51,1548.58
2025-01-17,CORN,CME,1843.17,1511.4
2025-01-20,CORN,CME,1814.71,1488.06
2025-01-21,CORN,CME,1816.28,1489.35
2025-01-22,CORN,CME,1794.33,1471.35
2025-01-23,CORN,CME,1846.14,1513.83
2025-01-24,CORN,CME,1802.24,1477.84
2025-01-27,CORN,CME,1738.91,1425.9
2025-01-28,CORN,CME,1724.5,1414.09
2025-01-29,CORN,CME,1745.85,1431.6
2025-01-30,CORN,CME,1815.99,1489.11
2025-01-31,CORN,CME,1798.06,1474.41
2025-02-03,CORN,CME,1815.5,1488.71
2025-02-04,CORN,CME,1836.06,1505.57
2025-02-05,CORN,CME,1754.83,1438.96
2025-02-06,CORN,CME,1905.53,1562.53
2025-02-07,CORN,CME,1780.72,1460.19
2025-02-10,CORN,CME,1768.79,1450.41
2025-02-11,CORN,CME,1834.73,1504.48
2025-02-12,CORN,CME,1667.77,1367.57
2025-02-13,CORN,CME,1743.08,1429.33
2025-02-14,CORN,CME,1870.64,1533.92
2025-02-17,CORN,CME,1674.91,1373.42
2025-02-18,CORN,CME,1880.47,1541.98
2025-02-19,CORN,CME,1908.8,1565.22
2025-02-20,CORN,CME,1773.4,1454.19
2025-02-21,CORN,CME,1821.01,1493.23
2025-02-24,CORN,CME,1880.57,1542.07
2025-02-25,CORN,CME,1766.39,1448.44
2025-02-26,CORN,CME,1862.48,1527.23
2025-02-27,CORN,CME,1751.68,1436.38
2025-02-28,CORN,CME,1765.61,1447.8
2025-03-03,CORN,CME,1742.45,1428.81
2025-03-04,CORN,CME,1824.67,1496.23
2025-03-05,CORN,CME,1883.37,1544.37
2025-03-06,CORN,CME,1786.74,1465.13
2025-03-07,CORN,CME,1708.47,1400.95
2025-03-10,CORN,CME,1722.05,1412.08
2025-03-11,CORN,CME,1828.41,1499.3
2025-03-12,CORN,CME,1932.78,1584.88
2025-03-13,CORN,CME,1828.35,1499.25
2025-03-14,CORN,CME,1772.14,1453.16
2025-03-17,CORN,CME,1855.17,1521.24
2025-03-18,CORN,CME,1782.76,1461.86
2025-03-19,CORN,CME,1772.76,1453.67
2025-03-20,CORN,CME,1730.99,1419.41
2025-03-21,CORN,CME,1901.41,1559.15
2025-03-24,CORN,CME,1617.18,1326.09
2025-03-25,CORN,CME,1857.45,1523.11
2025-03-26,CORN,CME,1766.61,1448.62
2025-03-27,CORN,CME,1770.46,1451.77
2025-03-28,CORN,CME,1921.85,1575.91
2025-03-31,CORN,CME,1748.58,1433.84
2025-04-01,CORN,CME,1751.04,1435.85
2025-04-02,CORN,CME,1790.61,1468.3
2025-04-03,CORN,CME,1829.8,1500.43
2025-04-04,CORN,CME,1768.19,1449.91
2025-04-07,CORN,CME,1686.68,1383.08
2025-04-08,CORN,CME,1737.67,1424.89
2025-04-09,CORN,CME,1892.26,1551.65
2025-04-10,CORN,CME,1805.38,1480.41
2025-04-11,CORN,CME,1832.48,1502.63
2025-04-14,CORN,CME,1781.18,1460.57
2025-04-15,CORN,CME,1752.52,1437.06
2025-04-16,CORN,CME,1920.79,1575.04
2025-04-17,CORN,CME,1786.45,1464.89
2025-04-18,CORN,CME,1768.08,1449.82
2025-04-21,CORN,CME,1878.92,1540.72
2025-04-22,CORN,CME,1747.99,1433.35
2025-04-23,CORN,CME,1757.18,1440.89
2025-04-24,CORN,CME,1800.74,1476.6
2025-04-25,CORN,CME,1800.02,1476.02
2025-04-28,CORN,CME,1818.69,1491.33
2025-04-29,CORN,CME,1950.6,1599.49
2025-04-30,CORN,CME,1824.21,1495.85
2025-05-01,CORN,CME,1628.78,1335.6
2025-05-02,CORN,CME,1823.49,1495.26
2025-05-05,CORN,CME,1802.73,1478.24
2025-05-06,CORN,CME,1803.13,1478.57
2025-05-07,CORN,CME,1817.71,1490.52
2025-05-08,CORN,CME,1797.94,1474.31
2025-05-09,CORN,CME,1796.21,1472.89
2025-05-12,CORN,CME,1844.14,1512.19
2025-05-13,CORN,CME,1760.97,1444.0
2025-05-14,CORN,CME,1731.77,1420.05
2025-05-15,CORN,CME,2017.71,1654.52
2025-05-16,CORN,CME,1748.46,1433.74
2025-05-19,CORN,CME,1807.21,1481.91
2025-05-20,CORN,CME,1692.31,1387.7
2025-05-21,CORN,CME,1808.39,1482.88
2025-05-22,CORN,CME,1732.81,1420.9
2025-05-23,CORN,CME,1768.14,1449.88
2025-05-26,CORN,CME,1875.24,1537.7
2025-05-27,CORN,CME,1833.98,1503.87
2025-05-28,CORN,CME,1840.93,1509.56
2025-05-29,CORN,CME,1672.47,1371.43
2025-05-30,CORN,CME,1932.26,1584.45
2025-06-02,CORN,CME,1714.18,1405.63
2025-06-03,CORN,CME,1910.06,1566.25
2025-06-04,CORN,CME,1873.55,1536.31
2025-06-05,CORN,CME,1841.57,1510.09
2025-06-06,CORN,CME,1738.44,1425.52
2025-06-09,CORN,CME,1810.91,1484.95
2025-06-10,CORN,CME,1766.09,1448.2
2025-06-11,CORN,CME,1802.09,1477.71
2025-06-12,CORN,CME,1782.01,1461.25
2025-06-13,CORN,CME,1653.22,1355.64
2025-06-16,CORN,CME,1880.77,1542.23
2025-06-17,CORN,CME,1794.16,1471.21
2025-06-18,CORN,CME,1765.09,1447.38
2025-06-19,CORN,CME,1759.66,1442.92
2025-06-20,CORN,CME,1825.81,1497.16
2025-06-23,CORN,CME,1735.65,1423.23
2025-06-24,CORN,CME,1637.63,1342.85
2025-06-25,CORN,CME,1829.31,1500.04
2025-06-26,CORN,CME,1837.38,1506.65
2025-06-27,CORN,CME,1785.63,1464.21
2025-06-30,CORN,CME,1717.35,1408.23
2025-01-02,SOY,CME,2089.44,1713.34
2025-01-03,SOY,CME,2438.17,1999.3
2025-01-06,SOY,CME,2349.19,1926.33
2025-01-07,SOY,CME,2129.1,1745.86
2025-01-08,SOY,CME,2391.94,1961.39
2025-01-09,SOY,CME,2458.18,2015.71
2025-01-10,SOY,CME,2384.21,1955.05
2025-01-13,SOY,CME,2404.97,1972.08
2025-01-14,SOY,CME,2311.3,1895.27
2025-01-15,SOY,CME,2175.03,1783.52
2025-01-16,SOY,CME,2415.04,1980.33
2025-01-17,SOY,CME,2514.48,2061.87
2025-01-20,SOY,CME,2456.18,2014.07
2025-01-21,SOY,CME,2163.14,1773.77
2025-01-22,SOY,CME,2207.6,1810.23
2025-01-23,SOY,CME,2270.48,1861.79
2025-01-24,SOY,CME,2200.26,1804.21
2025-01-27,SOY,CME,2354.15,1930.41
2025-01-28,SOY,CME,2386.98,1957.32
2025-01-29,SOY,CME,2215.56,1816.76
2025-01-30,SOY,CME,2423.05,1986.9
2025-01-31,SOY,CME,2406.5,1973.33
2025-02-03,SOY,CME,2298.47,1884.75
2025-02-04,SOY,CME,2333.78,1913.7
2025-02-05,SOY,CME,2166.72,1776.71
2025-02-06,SOY,CME,2318.77,1901.39
2025-02-07,SOY,CME,2350.69,1927.57
2025-02-10,SOY,CME,2365.86,1940.01
2025-02-11,SOY,CME,2385.61,1956.2
2025-02-12,SOY,CME,2372.96,1945.83
2025-02-13,SOY,CME,2325.15,1906.62
2025-02-14,SOY,CME,2376.9,1949.06
2025-02-17,SOY,CME,2444.19,2004.24
2025-02-18,SOY,CME,2341.02,1919.64
2025-02-19,SOY,CME,2379.85,1951.48
2025-02-20,SOY,CME,2332.5,1912.65
2025-02-21,SOY,CME,2289.2,1877.15
2025-02-24,SOY,CME,2399.15,1967.3
2025-02-25,SOY,CME,2297.81,1884.2
2025-02-26,SOY,CME,2386.3,1956.76
2025-02-27,SOY,CME,2352.66,1929.18
2025-02-28,SOY,CME,2321.43,1903.57
2025-03-03,SOY,CME,2319.15,1901.71
2025-03-04,SOY,CME,2302.24,1887.83
2025-03-05,SOY,CME,2195.29,1800.14
2025-03-06,SOY,CME,2385.99,1956.51
2025-03-07,SOY,CME,2371.77,1944.85
2025-03-10,SOY,CME,2429.87,1992.49
2025-03-11,SOY,CME,2300.04,1886.04
2025-03-12,SOY,CME,2528.17,2073.1
2025-03-13,SOY,CME,2314.3,1897.73
2025-03-14,SOY,CME,2267.74,1859.55
2025-03-17,SOY,CME,2256.59,1850.41
2025-03-18,SOY,CME,2187.01,1793.35
2025-03-19,SOY,CME,2494.07,2045.13
2025-03-20,SOY,CME,2478.88,2032.68
2025-03-21,SOY,CME,2406.47,1973.31
2025-03-24,SOY,CME,2265.77,1857.93
2025-03-25,SOY,CME,2520.26,2066.61
2025-03-26,SOY,CME,2316.94,1899.89
2025-03-27,SOY,CME,2324.71,1906.26
2025-03-28,SOY,CME,2485.1,2037.78
2025-03-31,SOY,CME,2411.94,1977.79
2025-04-01,SOY,CME,2556.9,2096.66
2025-04-02,SOY,CME,2373.38,1946.17
2025-04-03,SOY,CME,2312.68,1896.4
2025-04-04,SOY,CME,2292.49,1879.84
2025-04-07,SOY,CME,2176.38,1784.63
2025-04-08,SOY,CME,2323.81,1905.53
2025-04-09,SOY,CME,2457.59,2015.23
2025-04-10,SOY,CME,2406.29,1973.16
2025-04-11,SOY,CME,2351.91,1928.57
2025-04-14,SOY,CME,2256.48,1850.31
2025-04-15,SOY,CME,2371.33,1944.49
2025-04-16,SOY,CME,2445.2,2005.07
2025-04-17,SOY,CME,2390.49,1960.2
2025-04-18,SOY,CME,2365.67,1939.85
2025-04-21,SOY,CME,2275.09,1865.57
2025-04-22,SOY,CME,2431.52,1993.84
2025-04-23,SOY,CME,2055.6,1685.59
2025-04-24,SOY,CME,2385.99,1956.51
2025-04-25,SOY,CME,2591.61,2125.12
2025-04-28,SOY,CME,2208.21,1810.73
2025-04-29,SOY,CME,2327.31,1908.4
2025-04-30,SOY,CME,2349.26,1926.39
2025-05-01,SOY,CME,2306.52,1891.34
2025-05-02,SOY,CME,2447.42,2006.88
2025-05-05,SOY,CME,2394.41,1963.42
2025-05-06,SOY,CME,2364.32,1938.74
2025-05-07,SOY,CME,2424.94,1988.45
2025-05-08,SOY,CME,2351.57,1928.29
2025-05-09,SOY,CME,2648.91,2172.1
2025-05-12,SOY,CME,2364.23,1938.67
2025-05-13,SOY,CME,2368.36,1942.05
2025-05-14,SOY,CME,2189.22,1795.16
2025-05-15,SOY,CME,2298.92,1885.11
2025-05-16,SOY,CME,2457.85,2015.44
2025-05-19,SOY,CME,2224.47,1824.06
2025-05-20,SOY,CME,2147.19,1760.7
2025-05-21,SOY,CME,2353.04,1929.49
2025-05-22,SOY,CME,2478.85,2032.66
2025-05-23,SOY,CME,2353.98,1930.27
2025-05-26,SOY,CME,2318.4,1901.09
2025-05-27,SOY,CME,2175.3,1783.75
2025-05-28,SOY,CME,2392.51,1961.86
2025-05-29,SOY,CME,2412.16,1977.97
2025-05-30,SOY,CME,2182.52,1789.66
2025-06-02,SOY,CME,2456.65,2014.45
2025-06-03,SOY,CME,2421.98,1986.02
2025-06-04,SOY,CME,2456.44,2014.28
2025-06-05,SOY,CME,2404.85,1971.98
2025-06-06,SOY,CME,2411.45,1977.39
2025-06-09,SOY,CME,2398.95,1967.14
2025-06-10,SOY,CME,2431.64,1993.94
2025-06-11,SOY,CME,2179.04,1786.81
2025-06-12,SOY,CME,2208.9,1811.3
2025-06-13,SOY,CME,2280.82,1870.27
2025-06-16,SOY,CME,2337.8,1916.99
2025-06-17,SOY,CME,2386.48,1956.92
2025-06-18,SOY,CME,2380.52,1952.03
2025-06-19,SOY,CME,2455.01,2013.11
2025-06-20,SOY,CME,2457.96,2015.53
2025-06-23,SOY,CME,2268.0,1859.76
2025-06-24,SOY,CME,2372.43,1945.39
2025-06-25,SOY,CME,2270.3,1861.65
2025-06-26,SOY,CME,2332.3,1912.49
2025-06-27,SOY,CME,2380.25,1951.8
2025-06-30,SOY,CME,2029.58,1664.26
2025-01-02,BARLEY,ICE,1055.34,865.38
2025-01-03,BARLEY,ICE,1098.31,900.61
2025-01-06,BARLEY,ICE,959.61,786.88
2025-01-07,BARLEY,ICE,1134.77,930.51
2025-01-08,BARLEY,ICE,1032.14,846.35
2025-01-09,BARLEY,ICE,1055.93,865.86
2025-01-10,BARLEY,ICE,1074.0,880.68
2025-01-13,BARLEY,ICE,1080.5,886.01
2025-01-14,BARLEY,ICE,1061.5,870.43
2025-01-15,BARLEY,ICE,1091.89,895.35
2025-01-16,BARLEY,ICE,1071.8,878.88
2025-01-17,BARLEY,ICE,1123.96,921.64
2025-01-20,BARLEY,ICE,1071.94,878.99
2025-01-21,BARLEY,ICE,1132.51,928.66
2025-01-22,BARLEY,ICE,1087.85,892.03
2025-01-23,BARLEY,ICE,974.16,798.81
2025-01-24,BARLEY,ICE,1159.67,950.93
2025-01-27,BARLEY,ICE,1025.88,841.22
2025-01-28,BARLEY,ICE,1112.81,912.51
2025-01-29,BARLEY,ICE,1051.13,861.92
2025-01-30,BARLEY,ICE,1094.57,897.54
2025-01-31,BARLEY,ICE,1021.08,837.29
2025-02-03,BARLEY,ICE,1076.28,882.55
2025-02-04,BARLEY,ICE,1039.37,852.28
2025-02-05,BARLEY,ICE,1116.32,915.38
2025-02-06,BARLEY,ICE,1068.42,876.11
2025-02-07,BARLEY,ICE,1089.31,893.23
2025-02-10,BARLEY,ICE,959.11,786.47
2025-02-11,BARLEY,ICE,1046.41,858.05
2025-02-12,BARLEY,ICE,1067.24,875.14
2025-02-13,BARLEY,ICE,1059.39,868.7
2025-02-14,BARLEY,ICE,1090.37,894.1
2025-02-17,BARLEY,ICE,1034.63,848.4
2025-02-18,BARLEY,ICE,1052.05,862.68
2025-02-19,BARLEY,ICE,1099.61,901.68
2025-02-20,BARLEY,ICE,954.3,782.52
2025-02-21,BARLEY,ICE,1074.75,881.3
2025-02-24,BARLEY,ICE,1035.98,849.5
